st_047075_0010#0,"""ESC-A Darkers?! ¿Incluso en este lugar?!"""
st_047075_0020#0,"""No interfieras, humildes Darkers. Todavía estoy aquí. Mi objetivo aún es alcanzable."""
st_047075_0030#0,"""Yo... Yo... Mis deseos... Para recuperar mis funciones como un clon de Xion... Y la venganza exacta contra los Photoners que me abandonaron."""
st_047075_0040#0,"""Probaré que no soy un fracaso."""
st_047075_0050#0,"""¡No deseo la destrucción de este mundo!, No me importaban menos los Photons y de dónde venían. ¡Todo esto existe como nada más que una herramienta para mí!"""
st_047075_0060#0,"""Yo... Lo que debo hacer es... Convertirme en uno... ¡Con la Tierra, la luna, las estrellas y... El triunfo sobre mis creadores!"""
st_047075_0070#0,"""...¿Absorbiste a Aru por ese motivo?, ¿Para ganar poder para tu venganza?"""
st_047075_0080#0,"""Correcto. A través de mi control de los photons, mi plan tendrá éxito."""
st_047075_0090#0,"""Aru... La fusión de Dark Falz, Ether y Photons... Un cuerpo adecuado para mi objetivo."""
st_047075_0100#0,"""Sin embargo, las conexiones que quedan dentro de él... Hitsugi Yasaka y <%me>... Sus conexiones continúan justificando su existencia."""
st_047075_0110#0,"""Esta conexión debe ser cortada. Para hacerlo... Ambos deben morir."""
st_047075_0113#0,"""1. Los Photoners ya están extintos."""
st_047075_0116#0,"""2. ¿Qué ves más allá de tu venganza?"""
st_047075_0120#0,"""¡Eso solo demuestra mi punto! Si se encontraron con su desaparición, y todavía estoy aquí, ¡Eso es una prueba absoluta de que mi existencia fue correcta todo el tiempo!"""
st_047075_0130#0,"""¡No lo sé!, ¡No soy un ser omnisciente! Pero sé que abriré un nuevo futuro cuando cumpla mi deseo!"""
st_047075_0140#0,"""...No tiene sentido contestar más de estas preguntas. ¿No es así, Hitsugi Yasaka?"""
st_047075_0150#0,"""Tienes razón, Mother. Mi objetivo es recuperar a Aru. Por eso... Te venceré."""
st_047075_0160#0,"""Mi objetivo es la venganza de los Photoners. Por eso, mataré tanto a Hitsugi Yasaka como a <%me>."""
st_047075_0170#0,"""Parece que hemos llegado a un punto muerto."""
st_047075_0180#0,"""Así parece."""
st_047075_0190#0,"""¡Ven ahora, chica de la purificación! Si crees que eres capas de derrótame y sálrvalo... ¡A Aru de mi interior!"""
