un_046060_0010#0,"""むーむむむ……むむむむむ……"""
un_046060_0020#0,"""1. ¿Estas bien?"""
un_046060_0030#0,"""2. ¿Qué estás haciendo?"""
un_046060_0040#0,"""Oh, <%me>.<br>No estoy herida ni nada, tampoco estaba haciendo nada importante, sin embargo..."""
un_046060_0050#0,"""Me preguntaba por qué mi pecho era tan<br>pequeño comparado con el de Ulc."""
un_046060_0060#0,"""Ahh, ¡Regresa por favor!, ¡Esto es serio! Está es una razón legítima para preocuparse, ¿Sabes?"""
un_046060_0070#0,"""Nosotras, las Xiera-tipo High-Casts, estamos en cada nave ARKS. Cada una maneja los controles de dichas naves."""
un_046060_0080#0,"""Nos volvimos operativas hace 2 años alrededor del mismo tiempo que <%me> entró en criogenización."""
un_046060_0090#0,"""Al especializarse sólo en el control y la gestión de la nave, tenemos cero habilidades de combate. Existimos solamente para manejar las naves ARKS."""
un_046060_0100#0,"""Ah, Solo para aclarar. No tengo ninguna queja. Me encanta la gestión de las naves después de todo."""
un_046060_0110#0,"""Si bien es posible para nosotros ser programado para pensar de esa manera, está bien porque estoy feliz!"""
un_046060_0120#0,"""Ahora, aquí es donde se hace importante. La plantilla utilizada en nuestra personalidad provenía directamente de Ulc."""
un_046060_0130#0,"""Normalmente, tal cosa habría tomado demasiado tiempo, si se inició desde cero. Por eso Ulc fue elegida para que su personalidad se usara como plantilla."""
un_046060_0140#0,"""A pesar de haber dicho eso, mira está diferencia!, ¡Esta diferencia!"""
un_046060_0150#0,"""Si fueran a utilizar a alguien como un modelo, me gustaría que hubiera utilizado su físico y no sólo su personalidad también!"""
un_046060_0160#0,"""Quiero decir, lo entiendo. Un pecho más grande contaría en los costes del desarrollo, así como estorbando en el trabajo de escritorio..."""
un_046060_0170#0,"""Como gerente, puedo aceptar esto. Sin embargo, como mujer, esto es inaceptable!, ¡Mi orgullo siente como que se están riendo de él!"""
un_046060_0180#0,"""Cada vez que tengo una conversación con Ulc, hay está esa sensación de irritación leve en mi pecho... Esto es inaceptable!"""
un_046060_0190#0,"""Las otras Xiera-tipos están de acuerdo!, ¡Bien! tiempo para presentar una queja a través de Xiao!"""
un_046060_0200#0,"""Xiao! tengo un informe..."""
un_046060_0210#0,"""¡No escuchó lo que tengo que decir!, ¡De hecho, hay un mensaje en el que me regaña!"""
un_046060_0220#0,"""Uuuuu... Lo siento, lo siento. Ya sabía que sería así. Lo he calculado de antemano."""
un_046060_0230#0,"""Pero aun así, el hecho de que no podía callar, es la prueba de que soy similar a un ser humano."""
un_046060_0240#0,"""Hey, Estos se sienten míos, usted entiende verdad, <%me>?"""
