un_043060_0010#0,"""Oh, <%me>! Seeing as you're hanging around, I assume you've settled back into things, yes?"""
un_043060_0020#0,"""My missions have finally started to settle down as well, so I've finally got a break! Heheh!"""
un_043060_0030#0,"""By the by, have you seen my predecessor yet? She woke up WAY before you did. I hear she's been busy, though."""
un_043060_0040#0,"""...Yep, sounds like a pretty stuck-up kid."""
un_043060_0050#0,"""Heheh, you! You were just thinking to yourself that<br>\""this kid thinks she SOOO important\"", right?"""
un_043060_0060#0,"""Huh!? No, I wasn't..."""
un_043060_0070#0,"""It's pretty obvious from how your photons are reacting! That's fine, think it all you want, because I don't think I'm important--I KNOW it!"""
un_043060_0080#0,"""...What? Uh, <%me>, what's with this sassy lost child?"""
un_043060_0090#0,"""I'm the 3rd Generation Claris Claes, and Vice-Commander of the Combat Unit.<br>Pleasure to make your aquaintance, short stuff!"""
un_043060_0100#0,"""S-short stuff?! I'M the taller one! This child's mannerisms concern me!"""
un_043060_0110#0,"""Not like I can help that. I was designed like this.<br>I've had this body since I was born."""
un_043060_0120#0,"""Huh..?"""
un_043060_0130#0,"""If only Sara could get just a bit taller, then I'd be taller too...<br>Suffice to say, you can blame her for that."""
un_043060_0140#0,"""W-wait a minute, what do you mean \""designed?\"""""
un_043060_0150#0,"""Hmm? I'm pretty much an artificial creation. I'm a clone.<br>That easy enough to take in?"""
un_043060_0160#0,"""A... clone... <br>We're not in a comic, are we?"""
un_043060_0170#0,"""Not sure what that means, but if you're trying to shower me with pity, than it's none of your business."""
un_043060_0180#0,"""I've already accepted it, and so has everybody else. So that's that."""
un_043060_0190#0,"""I'm myself. As Claris Claes, I will put all my effort into what I can, myself, do. And that's that."""
un_043060_0200#0,"""Though, I will give you my thanks for your concern. Thank you."""
un_043060_0210#0,"""1. You've gotten stronger."""
un_043060_0220#0,"""2. You used to cry about it."""
un_043060_0230#0,"""I wouldn't say that I've gotten stronger. It's more that I don't have to act like I'm strong anymore."""
un_043060_0240#0,"""H-hey! You didn't need to say that! That was the past! P-A-S-T!"""
un_043060_0250#0,"""By the way, shortstuff and kiddo! I don't know your names yet!"""
un_043060_0260#0,"""Oh. I'm Hitsugi, and this is Aru."""
un_043060_0270#0,"""I see! Hitsugi and Aru. It's nice to meet you both!"""
un_043060_0280#0,"""Wai-- Aaah! I'm going to be late for a very important meeting! Gotta meet up with Sara! Later, guys!"""
