st_043120_0001#0,"""A.D.2028/4/7/20:00"""
st_043120_0010#0,"""¡OH DIOS MÍO! ¡MI ESCENARIO! Está cayendo... aparte?"""
st_043120_0020#0,"""Pero, eso esta BIEN... ¡Está todo bien! JOVENCITA-Hitsugi, JOVEN-Enga... y <%me>!"""
st_043120_0030#0,"""Cuando los ACTORES han superado las expectativas del director - ¡Es cuando nace la película más grande!"""
st_043120_0040#0,"""Geez, incluso en estas circunstancias, todavía te importa tu película, ¿no?"""
st_043120_0050#0,"""<%me>...? Hermano mayor, ¡¡Por allí!!"""
st_043120_0060#0,"""Desde que nos comentaron para venir con todos, Estaba 50% optimista acerca de quien estába aquí, pero... Cada uno de ustedes se ven 70% acabados."""
st_043120_0070#0,"""Y esa enana de allí es Hitsugi, ¿verdad? Parece 100% arrogante. Phul, vallmos a matarla ahora mismo."""
st_043120_0080#0,"""No puedes hacer eso Och. A pesar de que se ve débil, sólo vinimos aquí para saludarlos."""
st_043120_0090#0,"""Ah, esa frase, \""Sólo vinimos aquí para saludarlos\"", Suena fuerte. Podría usar esto! Tengo que tomar un nota."""
st_043120_0100#0,"""Hoho, Phul tiene razón, Och. Esta vez, nuestro objetivo no son ellos."""
st_043120_0110#0,"""…………っ。"""
st_043120_0120#0,"""¡Lecturas detectadas! 5 han sido detectados! ¿Cuánto tiempo han estado allí?!"""
st_043120_0130#0,"""Vamos, dame un respiro. ¿Están todos aquí? Esto podría resultar bastante mal..."""
st_043120_0140#0,"""Parece que te han golpeado muy fuerte, Bethor. Eso es lo que sucede cuando no sigues nuestro consejo."""
st_043120_0150#0,"""HA... No has venido hasta aquí solo para decir eso, ¿No es asi, Ophiel?"""
st_043120_0160#0,"""Exactamente."""
st_043120_0170#0,"""が、は……っ！"""
st_043120_0180#0,"""Mother ha hecho cumplir este juicio. Actos destructivos sin consentimiento, y fallos para completar la misión. Es algo que no podemos pasar como desapercibido."""
st_043120_0190#0,"""Simplemente estoy siguiendo esa decisión, Bethor."""
st_043120_0200#0,"""He... jaja... ja... Gah! ¡DE ACUERDO! BIEEEN! Si esa es la decisión de Mother, ¡entonces está bien!"""
st_043120_0210#0,"""Sin embargo, Ophiel... La película sigue rodando, ¿verdad?"""
st_043120_0220#0,"""¡La escena de la muerte de alguien... es algo<br>que sólo se puede filmar una vez en la vida!<br>Grabalo... sin perder ningún momento!"""
st_043120_0230#0,"""...Nuestra misión esta completa."""
st_043120_0240#0,"""¡Para el mundo! Sólo diré esto una vez."""
st_043120_0250#0,"""Nosotros los Mother Cluster, Nuestro unico objetivo es la custodia de un niño llamado Aru, Garantizaremos la seguridad de los terrícolas, si lo entregan."""
st_043120_0260#0,"""Terrícolas... Sólo nosotros? ¿Qué pasara con la gente en Oracle?"""
st_043120_0270#0,"""Sólo estoy aquí para transmitir las palabras de Mother.<br>Si no lo entregan, entonces<br>Tomare todo de regreso. Eso es todo."""
st_043120_0280#0,"""De Aru... ¿Qué quieren decir con eso? ¿Qué quieren lograr?!"""
st_043120_0290#0,"""Venganza, por supuesto... No debería haber otra cosa que venganza."""
skit01#0,"""¡Cambiar el mundo!"""
skit02#0,"""世界変革の声"""
