st_042084_0010#0,"""...Ah, <%me>.<br>Umm..."""
st_042084_0020#0,"""1. ¿Te sientes bien?"""
st_042084_0030#0,"""2. Es bueno ver que te va bien."""
st_042084_0040#0,"""Ah si. Aparte de los ultimos eventos, estoy bien."""
st_042084_0050#0,"""Si, yo diria que es gracias a ti."""
st_042084_0060#0,"""...No estan sorprendidos de que yo haya venido aquí, es como si ya lo supieran."""
st_042084_0070#0,"""M-mas importante, ¿Estas realmente bien?, ¿No han habido mas ataques de esos Phantoms? Estabamos muy preocupados por ti."""
st_042084_0080#0,"""...¿Preocupados?, ¿Sobre mi?"""
st_042084_0090#0,"""¡Por supuesto! Incluso si fue solo un corto tiempo, Eramos camaradas en el campo de batalla!"""
st_042084_0100#0,"""Hemos tomado medidas para garantizar su seguridad, pero nuestras manos estan atadas... Seguro que es reconfortante verlo en persona."""
st_042084_0110#0,"""Por cierto, Hitsugi. ¿Mencionaste algo sobre tener preguntas?"""
st_042084_0120#0,"""Yo, Xiera, hare todo lo que pueda para responder cualquier pregunta que puedan tener!"""
st_042084_0130#0,"""En ese caso, siempre he querido preguntar...... ¿Son todos ustedes \""Errores\""... Esper-... ¡No es eso! Umm... Ahh..."""
st_042084_0140#0,"""Mmn, aah, no, espera... ¿Como expreso esto..?"""
st_042084_0150#0,"""\""Son humanos?\"" Bueno, por supuesto que lo son... \""De donde vienen\""... Para que estarian aquí."""
st_042084_0160#0,"""¡Oh vamos!, ¡Hay demasiadas cosas que preguntar! ¿Por donde comienzo?"""
st_042084_0170#0,"""¿Qué tal \""Aru?\"", El chico que está contigo en este momento Hitsugi?"""
st_042084_0180#0,"""¡Eso es!, ¡Eso tambien! Espera, ¿Como supiste sobre el nombre de Aru?"""
st_042084_0190#0,"""De todos modos, vamos a empezar por ahi! ¿Quien es Aru?, ¿Qué es el?, ¿Es humano?, ¿El vino de este mundo?"""
st_042084_0200#0,"""¿O es algo mas?!"""
st_042084_0210#0,"""...Lo siento, pero no tenemos suficientes datos para darte una respuesta concisa."""
st_042084_0220#0,"""De ninguna manera..."""
st_042084_0230#0,"""1. ¿Qué piensas de el, Hitsugi?"""
st_042084_0240#0,"""2. ¿Qué es lo que quieres que sea, Hitsugi?"""
st_042084_0250#0,"""...¿Yo?, ¿Qué pienso de Aru?"""
st_042084_0260#0,"""¿Qué quiero que sea?..."""
st_042084_0270#0,"""El... Es un error. Se supone que todo el mundo es un error. Eso es lo que Mother dijo, y eso debería ser..."""
st_042084_0280#0,"""¿Era eso realmente todo lo que hay que hacer?..."""
st_042084_0290#0,"""...Lo siento. Mis pensamientos son un lio en este momento. No puedo pensar claramente. """
st_042084_0300#0,"""Necesito un tiempo para entender esto. Voy a ir a casa para el dia."""
st_042084_0310#0,"""...Bueno. Por favor, sientase libre de visitarnos en cualquier momento, Hitsugi."""
st_042084_0320#0,"""...lo hare. Gracias Xiera, <%me>."""
