ra_043030_0001#0,"""A.P.241/4/2"""
ra_043030_0010#0,"""Entre las distintas capacidades de los terrícolas, está la creación de armas encarnadas. Tengo una buena idea de cómo funciona."""
ra_043030_0020#0,"""Si tuviéramos que comparar con ARKS, es la versión de la Tierra de la habilidad del Summoner."""
ra_043030_0030#0,"""Hitsugi, ¿Puedes manifestar tu espada encarnada por mí?"""
ra_043030_0040#0,"""Umm, okay. \""Ame no Habakiri\"". """
ra_043030_0050#0,"""Esta está bien"""
ra_043030_0060#0,"""Si muchas gracias."""
ra_043030_0070#0,"""Justo ahora, bajo los comandos de Hitsugi, los photons en la atmósfera se acumularon y tomaron forma."""
ra_043030_0080#0,"""Como una de las habilidades de ARKS, encarnamos photons, pero parece ser un poco diferente de cómo lo hacen los terrícolas."""
ra_043030_0090#0,"""Algo mucho mayor que eso... Incorporaste una imagen simplemente desde el aire. Es algo que solo alguien puede hacer si está acostumbrado al ether."""
ra_043030_0100#0,"""Como las imágenes están directamente relacionadas con la forma de realización, es probable que también sean más eficientes."""
ra_043030_0110#0,"""Sus fallas provienen de la falta de uso general y la escasa cantidad de personas que pueden usarla."""
ra_043030_0120#0,"""Por cierto, ¿Cuál era el nombre de tu arma encarnada, Hitsugi?, ¿Ame no Hakiri? No, eso es un poco..."""
ra_043030_0130#0,"""Cerca. Es \""Ame no Habakiri\""."""
ra_043030_0140#0,"""¿Tienes una idea de donde proviene?"""
ra_043030_0150#0,"""Si, umm..."""
ra_043030_0160#0,"""Oh!, ¡Lo sé!, ¡Es el arma que aparece en la mitología japonesa, Leyenda de Izumo!, ¡La espada que hizo pedazos a Yamata no Orochi!"""
ra_043030_0170#0,"""¿Eh? Aru, ¿Como lo supiste?"""
ra_043030_0180#0,"""Mientras estaba sentado en tu habitación, lo leí. ¡Hay muchos libros sobre leyendas!, ¡Toneladas de ellas!"""
ra_043030_0190#0,"""1. ¿Te gustan los libros?"""
ra_043030_0200#0,"""2. ¿Te gustan las leyendas?"""
ra_043030_0210#0,"""Supongo que sí. Particularmente, me gusta voltear las páginas de los libros. No sé cómo decirlo, pero me tranquiliza."""
ra_043030_0220#0,"""Aunque he leído muchos libros, definitivamente prefiero leyendas y fábulas heroicas."""
ra_043030_0230#0,"""También me gustan las leyendas, pero prefiero las fábulas heroicas en particular."""
ra_043030_0240#0,"""Incluso si algo sucede en la vida, solo leyendo libros y pensando en los héroes... Me hace sentir más tranquila."""
ra_043030_0250#0,"""Hmm, ahora estás pensando que soy infantil, ¿Verdad? No me importa, mi corazón y mi cuerpo siempre serán un niño, después de todo. Hmph!"""
