un_044060_0010#0,"""¿Cuál es el trabajo de Xiera?"""
un_044060_0020#0,"""¿A que viene esa pregunta tan de repente, Aru?"""
un_044060_0030#0,"""<%me> y mi hermana mayor trabajan bajando a la Tierra y peleando y cosas asi, ¿Verdad?"""
un_044060_0040#0,"""Bueno, no para mí, pero eso es correcto para <%me>."""
un_044060_0050#0,"""¿No deberías ir también, Xiera?, ¿O estar sentada y hablar es su trabajo?"""
un_044060_0060#0,"""Ooooh! La forma en que lo dice Aru lo hace sonar como que estoy simplemente charlando y no trabajando!"""
un_044060_0070#0,"""1. Te equivocas."""
un_044060_0080#0,"""2. ¿No es así?"""
un_044060_0090#0,"""Gracias, <%me>. Escucha Aru, tengo mi propio trabajo también."""
un_044060_0100#0,"""Espera, <%me> Aru podría creer eso, solo déjame explicárle."""
un_044060_0110#0,"""Verás, Aru, es un trabajo que sólo yo puedo hacer."""
un_044060_0120#0,"""¿El trabajo de Xiera?"""
un_044060_0130#0,"""Mi título oficial es Administrador Especial de Administración Científica High Cast. El cálculo y la gestión de la nave ARKS es mi trabajo principal."""
un_044060_0140#0,"""Hago ajustes para que los residentes de la nave vivan cómodamente, además de enviar información a todos los ARKS."""
un_044060_0150#0,"""Así que estabas haciendo todo eso... No veo nada de eso, aunque."""
un_044060_0160#0,"""Puedo sentir las espinas de cada palabra que hablas... Aunque, a pesar de las apariencias, soy básicamente una trabajadora diligente. ¡Ejem!"""
un_044060_0170#0,"""Creo que hay ARKS que todavía están partiendo mientras hablamos... ¿No deberías ir y apoyarlos también?"""
un_044060_0180#0,"""Fufu, no me subestimes demasiado mientras estamos charlando, ese nivel de procesamiento paralelo es un pedazo de pastel! Es mi especialidad"""
un_044060_0190#0,"""No voy a perder a Xiao, incluso si es sólo cálculos para la gestión. Sin embargo, sí pierdo en otro lugar..."""
un_044060_0200#0,"""Además, hablar con todos ustedes también es parte de mi trabajo."""
un_044060_0210#0,"""Los encargados anteriores, los Photoners, no hicieron ningún esfuerzo en intentar entender los corazones de la gente. Por lo tanto, los usaron como peones. El resultado fue el colapso del orden"""
un_044060_0220#0,"""Los corazones de la gente son frágiles y fácilmente se rompen. Sin embargo, a veces, se convierten en un arma poderosa."""
un_044060_0230#0,"""Mientras soy un administrador, también soy una persona con un corazón. No sólo proporcionar información, también quiero proporcionar fuerza interactuando y conectándome con todos."""
un_044060_0240#0,"""Por lo tanto, yo hablo! Ahora todos, continuemos teniendo conversaciones inútiles juntos!"""
un_044060_0250#0,"""Habría sido un discurso mucho mejor sin añadir la última línea..."""
