st_042132_0160#0,"""Kohri... ¿Es realmente seguro aquí? No sabemos si ese monstruo podría salir de cualquier parte."""
st_042132_0170#0,""" Hitsugi, no puedes oírlo, puedes..."""
st_042132_0180#0,"""\""Mother\"" acaba de decirme todo! ¿Por qué no puedes oírla Hitsugi?"""
st_042132_0190#0,"""Como dije. Esa niña es una traidor. \""Mother\"" la había abandonado y la había rechazado."""
st_042132_0200#0,"""¡Tu eres!-"""
st_042132_0210#0,"""Me presentaré de nuevo, señorita. Soy Hagith. Hagith Anie."""
st_042132_0220#0,"""Mother Cluster, Apóstol del oro. En otras palabras, ¿Podrias decir que soy el Ejecutivo de Mother Cluster?"""
st_042132_0230#0,"""¿Ejecutivo? ¿Apóstol del oro? ¡Espera! - La gente elegida por \""Mother\"" para dirigir a [ESC-A] \""Mother Cluster\""!"""
st_042132_0240#0,"""Sólo la gestión [ESC-A], dices? Por supuesto hay más que eso, ¿verdad?"""
st_042132_0250#0,"""En este momento, la comunicación mundial es financiada por \""Ether\""."""
st_042132_0260#0,"""Utilizando Ether, ha permitido a \""Mother Cluster\"" Para extenderse por todo el mundo. \""Mother Cluster\"" está conectado con el mundo."""
st_042132_0270#0,"""La única manera de aumentar mi empresa... Era, por supuesto, de mis capacidades de desarrollo. Bueno, me pregunto si era conveniente en muchos aspectos."""
st_042132_0280#0,"""A partir de celebridades de grandes corporaciones y gobiernos, miembros de \""Mother Cluster\"" existen dentro. ¿Entiendes lo que te estoy diciendo?"""
st_042132_0290#0,"""Con el poder de \""Mother Cluster\"", tu puedes hacer cualquier cosa. Será un juego de niños hacerse cargo de una escuela. Incluso del mundo, a voluntad."""
st_042132_0300#0,"""Que pasa con eso..! En otras palabras, \""Mother Cluster\"" ya ha dominado el mundo!"""
st_042132_0310#0,"""...Estás equivocada Hitsugi. No es así."""
st_042132_0320#0,"""\""Mother Cluster\"" No está dominando, está apoyando al mundo desde detrás de cámaras."""
st_042132_0330#0,"""Eso es lo que \""Mother\"" dijo. Eso es lo que \""Mother\"" nos enseño."""
st_042132_0340#0,"""Kohri..."""
st_042132_0350#0,"""Tú eres el que manipula a esos monstruos... Incluso Kohri..!"""
st_042132_0360#0,"""Woah- No tengas una idea equivocada. No estoy manipulando a Kohri en absoluto."""
st_042132_0370#0,"""Ella está actuando por su cuenta. En respuesta a su contacto con \""Mother\"", Ella está tratando de salvarte a ti misma. ¿No es así?"""
st_042132_0380#0,"""...Hitsugi. Por favor, entreguen a Aru sin decir nada."""
st_042132_0390#0,"""Si lo haces, \""Mother\"" Dijo que ella te perdonará, Hitsugi... \""Mother\"" Siempre cumple sus promesas."""
st_042132_0400#0,"""\""Mother\"", Está pidiendo a Aru ..? ¿¡Por qué!?"""
st_042132_0410#0,"""Eso... ¡No importa !!"""
st_042132_0420#0,"""¡Hitsugi, te lo ruego! ¿Entrega a Aru, y volvamos a nuestros días como de siempre?"""
st_042132_0430#0,"""...Hermana mayor... estoy asustado."""
st_042132_0440#0,"""Aru..."""
st_042132_0450#0,"""Qué \""Mother\"" dijo..."""
st_042132_0460#0,"""Lo que he visto..."""
st_042132_0470#0,"""Lo que debo creer..."""
st_042132_0480#0,"""Hitsugi... Por qué..."""
st_042132_0490#0,"""Realmente, también quería saber por qué, en esta situación. Aunque pensé que estaba siendo racional aquí..."""
st_042132_0500#0,"""Aru me protegió cuando no tenía ni idea de todo. ¡No puedo abandonarlo así!"""
st_042132_0510#0,"""Es hora de retroceder Kohri. Tu papel aqui a terminado, dejame el resto a mí."""
st_042132_0520#0,"""¡Espera! Hitsugi sigue siendo engañada por ellos! Si hablamos con ella, ¡definitivamente lo entenderá!"""
st_042132_0530#0,"""Kohri!"""
st_042132_0540#0,"""Es suficiente de tu inmadura-charla de estudiantes. Estamos hablando de negocios ahora, jovencita. Negocios sobre mi contacto con \""Mother\""."""
st_042132_0550#0,"""Mi trabajo es llevar a ese niño, Aru, conmigo a donde \""Mother\"" esta."""
st_042132_0560#0,"""Soy el \""trabajador-ligero\"" Tipo de persona. Sin tener nada molesto en mi camino, fácil como juguetear con una aplicación."""
st_042132_0570#0,"""Una Brillante... ¿Tableta?"""
st_042132_0580#0,"""Heh, también puedes verlo. Esto es algo que se puede ver, sólo si \""Mother\"" te dio Habilidades Ether."""
st_042132_0590#0,"""Esta, es mi Emerald Tablet. Me da la capacidad de remodelar, dar forma y controlar Phantoms bajo mi mando. Mi ejército de producción en masa."""
st_042132_0600#0,"""¡¿Eso creó todos esos monstruos?!"""
st_042132_0610#0,"""Oh vamos, hasta ahora pensaste que \""Ether\"" sólo se utilizó para fines de comunicación, ¿no?"""
st_042132_0620#0,"""El uso de Ether, en otras palabras, implementaciones de fantasía. Si aprovechas el poder de Ether, entonces es fácil crear mi propio ejército así."""
st_042132_0630#0,"""Ven... ¡Mi ejército! Conviértete en mis manos y mis pies, terminemos este trabajo sin perder mi energía."""
st_042132_0640#0,"""¿Esto... es el fin? ¿Es aquí donde voy a terminar?"""
st_042132_0650#0,"""Sin saber, ni entender nada... sólo voy a terminar perdiendo?"""
st_042132_0660#0,"""¡Hermana mayor!"""
st_042132_0670#0,"""No. No voy a rendirme. Esta vez..."""
st_042132_0675#0,"""¡Yo te protegere!"""
st_042132_0680#0,""" ¿Qué-!?"""
st_042132_0690#0,"""Ese arma... ¡Se materializó a mano!? ¿En esos últimos momentos?"""
st_042132_0700#0,"""Haaa- haaah..!"""
st_042132_0710#0,"""Ya veo, mi trabajo se volvió contra mí."""
st_042132_0720#0,"""Ya hemos predicho este nivel de actividad como irregular. Es mi trabajo aplastar un \""Error\"" Como tú."""
st_042132_0730#0,"""Kuh..!"""
st_042132_0740#0,"""...¿Qué es esta lectura? ¿Desde... arriba?"""
st_042132_0750#0,"""¿Qué...?"""
