un_047050_0010#0,"""Bouncer!<br>¡Por favor muestre su apoyo para Bouncer! Oye, tú también, ¡ haz tu acto juntos!"""
un_047050_0020#0,"""Apoyo Bravers... También..."""
un_047050_0030#0,"""¡No se deje seducir por el encanto de Summoner! Tú también, Io!"""
un_047050_0040#0,"""No creo que el tema sea un Summoner sin embargo..."""
un_047050_0050#0,"""Io, por favor, esto es serio!"""
un_047050_0060#0,"""Bueno, incluso si me pide que lo tome en serio... Más bien, ¿Por qué está utilizando la estrategia de publicidad exacta a Azanami?"""
un_047050_0070#0,"""Si los Summoners están usando el atractivo de sus mascotas, entonces eso significa que nosotros los representantes de la clase, debemos usar nuestras propias miradas y encantos para ganar sus corazones!"""
un_047050_0080#0,"""Esas mascotas son usadas por Summoners como tácticas baratas para atraer a gente, como <%me>... ¡Es imperdonable!"""
un_047050_0090#0,"""Estoy bastante segura de que eso está sólo en tu cabeza."""
un_047050_0100#0,"""Ah, <%me>.<br>Me disculpo por las payasadas de Katori."""
un_047050_0110#0,"""De la nada, hubo una petición de la propia Katori, para promover a Bouncer. Y cuando decidí ver por mí mismo, bueno... Habla por sí mismo."""
un_047050_0120#0,"""1. ¿Estas seguro que está bien?"""
un_047050_0130#0,"""2. ¿Qué están haciendo?"""
un_047050_0140#0,"""No es un problema. Una vez que se dan cuenta de lo inútil que es, estoy seguro de que van a renunciar."""
un_047050_0150#0,"""Promocionar Bouncer. He oído que Azanami hizo lo mismo."""
un_047050_0160#0,"""La idea de los Summoners es injusta; No quiero perder con ellos, honestamente no tiene mucho sentido."""
un_047050_0170#0,"""Sin embargo, Katori está haciendo todo lo posible para difundir la palabra de Bouncer. Eso solo merece elogios."""
un_047050_0180#0,"""En lugar de saltar directamente a la acción, es mejor tener ambición, independientemente de la idea detrás de ella. De está manera, el entrenamiento tiene su mérito."""
un_047050_0190#0,"""Sin embargo, siento lástima por Io, que fue arrastrada a los esquemas de Katori..."""
un_047050_0200#0,"""Supongo que todo lo que puede hacer es renunciar y decir que estaba atrapada en el momento."""
un_047050_0210#0,"""Bouncer! Bouncer!<br>Bouncers son mejores que Summoners! por favor dé su apoyo a Bouncer!"""
un_047050_0220#0,"""Uh, B-braver... Apoya Bravers también..."""
un_047050_0230#0,"""Rápido, Io! El siguiente es el área de abordaje!"""
un_047050_0240#0,"""Por favor, dame un descanso..."""
