un_049010_0010#0,"""¿Hola?, Hola<br>¿Puedes escucharme?"""
un_049010_0020#0,"""Ah, <%me> me alegro de<br>que mi llamada haya llegado sin problema."""
un_049010_0030#0,"""Quería contactarte porque tengo una solicitud personal que me gustaría cumplir."""
un_049010_0040#0,"""Me encantaría mucho pelear contigo uno a uno <%me> ¿Y usted que opina?"""
un_049010_0050#0,"""Tengo el lugar perfecto en mente. En pocas palabras, es un desafío para un duelo."""
un_049010_0060#0,"""Había invitado a Huey y a Claris Claes, pero Xiera lamentablemente me rechazó en el momento en que mencioné a ARKS."""
un_049010_0070#0,"""Bueno, no estás obligado por las mismas reglas que los dos, así que pensé que no sería un problema."""
un_049010_0080#0,"""No tengo prisa, así que venga cuando sienta que está lo suficientemente preparado. No tengo ningún problema en esperar."""
un_049010_0090#0,"""¡Hey, Phaleg!, ¡Te dije que no puedes hacer eso! Usted no puede invitar a ARKS a batallar por un capricho suyo!"""
un_049010_0100#0,"""Parece que la compañía ha llegado... ¡Bueno, me iré, entonces! cuando éstes listo, <%me>."""
un_049010_0110#0,"""Hey, no... Ella colgó! hey <%me>, quería desafiarte a un duelo, ¿Verdad?"""
un_049010_0120#0,"""¡Ves!, ¡Esto me está poniendo nerviosa! Ella sigue peleando con la gente que ve, así que estamos progresivamente enviando a gente más fuerte. ¡Ya que está causando problemas!"""
un_049010_0130#0,"""No tienes ninguna obligación de aceptar. Ella lo hace para matar el tiempo."""
un_049010_0140#0,"""Bueno, quiero decir... Si realmente quieres pelear con ella, no puedo detenerte. Pero ella es muy fuerte, ¿De acuerdo?"""
un_049010_0150#0,"""Si planeas ir... Por favor... Ten cuidado."""
