un_044040_0010#0,"""Oh-mi-oh-mi. Parece que trajiste otra persona extraña contigo hoy."""
un_044040_0020#0,"""<%me> realmente estoy celosa de que sigas conociendo a maravillosos y extraños amigos a medida que avanzas."""
un_044040_0030#0,"""¿Te importaría compartir algo conmigo? Parece que me darán una extraña sensación de euforia. Definitivamente querría intentar dispararles algún día."""
un_044040_0040#0,"""Hey, <%me>. ¿Qué tiene de malo está persona?"""
un_044040_0050#0,"""Soy Lisa. Encantada de conocerte."""
un_044040_0060#0,"""Ah... sí estoy encantado de conocerte también."""
un_044040_0070#0,"""Fufufu. Estás siendo cautelosa conmigo, ¿No? No te preocupes, no te haré nada."""
un_044040_0080#0,"""Por cierto, eres alguien que dispara un arma, ¿Verdad? agregando a eso, prefieres francotiradores, ¿Verdad?"""
un_044040_0090#0,"""¿Por qué piensas eso?"""
un_044040_0100#0,"""Cuando tuviste cuidado con Lisa, tus piernas fueron las primeras en reaccionar durante ese breve momento de miedo. Intentaste ganar distancia."""
un_044040_0110#0,"""Sin embargo, no hubo movimientos en sus manos. Por lo tanto, usted no es del tipo que prepara una pistola, tal vez alguien que crea una pistola, ¿Verdad?"""
un_044040_0120#0,"""Sólo con sacudir la mano, ¿Reveló todo eso hasta ese punto?"""
un_044040_0130#0,"""Fufufu. Un francotirador requiere un ojo perceptivo. Después de todo, la captura de la más mínima anomalía es la habilidad más importante en el campo de batalla."""
un_044040_0140#0,"""Oh no! Esto no es bueno en absoluto. Yo estaba atrapada en mi felicidad y comenze a hablar desde que conocí a alguien con el mismo olor."""
un_044040_0150#0,"""Bueno, entonces me voy. Quiero seguir disparando y matando más y más de esos misteriosos Phantoms en la Tierra."""
un_044040_0160#0,"""Su sensación es tan esponjoso, lleno de incertidumbre y vil al punto donde se siente tan bien! Fufufu- Fufufufufu!"""
un_044040_0170#0,"""Hey... ¿Los tipos raros tienden a ser más poderoso dentro de ARKS?"""
