name01#0,"""Dios Fantasma de la Creación"""
name02#0,"""？？？"""
st_048130_0180#0,"""¿Donde estamos? Este lugar es diferente de donde nos encontrabamos."""
st_048130_0190#0,"""Un viento agradable, luz cómoda... Este ambiente no tiene sentido de realismo."""
st_048130_0200#0,"""No, no lo es. Este es mi jardín.<br>Este lugar es demasiado para los sentidos humanos."""
st_048130_0210#0,"""¡Q-¿Quién?!"""
st_048130_0220#0,"""Una pregunta tan irrelevante, hijo del hombre.<br>Usted me llamó aquí, y pregunta quién soy?"""
st_048130_0230#0,"""De ninguna manera, tu eres..."""
st_048130_0240#0,"""Todo. Yo soy el que creó este planeta, este universo, toda la creación. Yo soy la creación misma."""
st_048130_0250#0,"""Así que eso es a lo que se referia Ardem cuando dijo que su cuerpo era un recipiente para Dios..."""
st_048130_0260#0,"""Sin embargo, la llegada del Dios de la Creación... ¿qué locura es esta?"""
st_048130_0270#0,"""Si bien este es un recipiente inesperado,<br>Si tomo forma en el, debo cumplir<br>el deber que deseaba de mí."""
st_048130_0280#0,"""Usaré esta tierra, este planeta, como materiales<br>y comenzaré la creación de un nuevo universo."""
st_048130_0290#0,"""Usando este planeta como materiales para la creación... ¿Destruirás la Tierra?"""
st_048130_0300#0,"""Es el fin para la humanidad de hoy, este planeta, este universo.<br>Pero no se preocupen, el universo renacido probablemente será llevado<br>por una nueva humanidad."""
st_048130_0310#0,"""Un mundo estancado sólo tiene valor como materia prima,<br>y si el renacimiento es lo que desea la humanidad....<br>cumpliré su deseo."""
st_048130_0320#0,"""¡No voy a... dejarte hacer eso!"""
st_048130_0330#0,"""¿Te atreves a apuntar tu espada a mi? ¿El Dios de la Creación?"""
st_048130_0340#0,"""Ame-no-Murakumo... Desapareció ¡¿Por qué?!"""
st_048130_0350#0,"""Esas son formas de personificación que utilizan fragmentos de mí mismo, el universo.<br>No son una amenaza para mí, y se dispersarán según mi voluntad. Esto es<br>simplemente la verdad."""
st_048130_0360#0,"""Hm? ¿Cómo es que tu poder no ha desaparecido?"""
st_048130_0370#0,"""...Ya veo. ¿Eres un visitante de otro universo, otra dimensión?<br>No es ninguna sorpresa que estés fuera de mi control."""
st_048130_0380#0,"""<%me>. Les agradezco su devoción a esta estrella degenerada."""
st_048130_0390#0,"""Ahora, déjame a mi, el Dios de la Creación, tomar el control de aquí.<br>Lo devolveré amablemente a su hogar."""
st_048130_0400#0,"""Eso... tampoco es de nuestro universo.<br>También te devolveré a tu casa."""
