un_041020_0010#0,"""...Hermosa. Qué hermoso es. ¿No estás de acuerdo?"""
un_041020_0020#0,"""Esta forma sin defectos. Tan elegante y suave. Piel que sólo se puede describir como \""perfecto al tacto\""."""
un_041020_0030#0,"""Y sobre todo, el amor que tiene para mí. La forma elegante siempre se acurruca por mí... Mmm, elegante!"""
un_041020_0040#0,"""1. ¿De qué estás hablando?"""
un_041020_0050#0,"""2. ¿QuIÉN ERES TÚ?"""
un_041020_0060#0,"""¡¿Qué?! ¿Aún no entiendes lo que estoy hablando después de que te dije tanto?"""
un_041020_0070#0,"""Hm? Por cierto, ¿Quién eres tú? Ah, no, no importa. Aparte de estos niños, no tengo ningún interés real en nadie más."""
un_041020_0080#0,"""¡Qué grosero! Por cierto, ¿Quién eres tú? Ah, no, no importa. Aparte de estos niños, no tengo ningún interés real en nadie más."""
un_041020_0090#0,"""Mi nombre es Pietro, y ésta es mi querida hija, Catherine."""
un_041020_0100#0,"""Tú rostro me es familiar, creo que te he visto antes. En ese caso, por favor, déjeme explicar sobre mi amada aquí, y sobre los Summoner!"""
un_041020_0110#0,"""Summoner es una clase aprobada recientemente para ARKS. En otras palabras, un nuevo camino a seguir."""
un_041020_0120#0,"""¡La mayor parte de ser un Summoner son estos niños! Usted puede traer a su amado hijo junto a usted al campo de batalla."""
un_041020_0130#0,"""Todo el mundo los llaman pets... Pero para mí, son niños que necesitan ser amados! ¡Son unos niños preciosos e insustituibles!"""
un_041020_0140#0,"""El arma para Summoners, el takt. Deja que te guíe, en elegancia y belleza, y juegue una armonía de aniquilación. Eso es lo que significa ser la clase Summoner."""
un_041020_0150#0,"""¿Qué tal? Ahora lo entiendes, ¿Verdad? Y quieres probarlo también, ¿Sí?"""
un_041020_0160#0,"""Haha, no hay necesidad de estar tan reservado. ¡Insisto, prueba la clase Summoner!"""
un_041020_0170#0,"""Para compartir la alegría de tener a estos niños queridos... Es por eso que he establecido está clase."""
un_041020_0180#0,"""Ow! Hahahahaha, Catherine, tu pequeña bribona, tu! """
un_041020_0190#0,"""Sí, sí, lo sé, lo sé. Nos iremos en un momento para ir por un café."""
un_041020_0200#0,"""Pues bien, aquí es donde nos separamos. ¡Disfruta de la gran vida Summoner!"""
un_041020_0210#0,"""Haha, ahora ahora, no hay necesidad de precipitarse, Catherine! La comida no va a ninguna parte. Te digo que duele! Deja de morder, deja de morder pequeña bribona, ¡Tú!"""
