un_043130_0010#0,"""Oh, <%me>. Justo a tiempo. Estaba a punto de llamarte."""
un_043130_0020#0,"""<%me>. Es la segunda vez que nos vemos así. De nuevo, soy Aika, de la Unidad de Inteligencia."""
un_043130_0030#0,"""Bajo las órdenes de mi Comandante, Casra, estaré aquí por un tiempo."""
un_043130_0040#0,"""Al parecer, es para asegurarse de que Intel se mantenga alejado del Comandante Jefe, pero..."""
un_043130_0050#0,"""...La verdadera razón es la vigilancia."""
un_043130_0060#0,"""Usted realmente iba a decirlo!"""
un_043130_0070#0,"""En pocas palabras, mi Comandante todavía no confía en la gente de la Tierra. Después de todo, ya se han metido en nuestro mundo."""
un_043130_0080#0,"""Existe la posibilidad de que nuestros supuestos aliados sean de hecho espías. Naturalmente, la Inteligencia tiene sus dudas instintivas."""
un_043130_0090#0,"""A pesar de ocultar su propia información, estás constantemente interesado en otros... Realmente no esperaría menos de Inteligencia."""
un_043130_0100#0,"""Pensamos igual. Eso es parcialmente por lo que estoy aquí."""
un_043130_0110#0,"""<%me> y Xiera, deseo llevar a cabo mi vigilancia sobre la base de la confianza que ustedes dos tienen para la gente de la tierra."""
un_043130_0120#0,"""No es tan estricto como usted puede pensar-Yo simplemente deseo que usted preste sus manos con peticiones menores. Eso es todo."""
un_043130_0130#0,"""Espero no estar pidiendo demasiado... Pero honestamente tampoco puedo garantizar mucho."""
un_043130_0140#0,"""Aika, ¿Usted... sabe algo que nosotros no?"""
un_043130_0150#0,"""Me han aconsejado que la confianza y el entendimiento son necesarios para las interacciones con las culturas extranjeras."""
un_043130_0160#0,"""Estoy aquí como alguien que tiene algo de experiencia con la tierra, ademas de la representación de la unidad de inteligencia."""
un_043130_0170#0,"""Espero que no me convierta en una carga innecesaria mientras esté bajo su cuidado."""
