st_042115_0010#0,"""Lo siento Kohri. Llegue un poco tarde porque mi hermano aparecio."""
st_042115_0020#0,"""Oh, has llegado en el momento adecuado."""
st_042115_0030#0,"""Eres... ¡Ese pervertido que vimos antes! Hagith Anie si recuerdo!"""
st_042115_0040#0,"""¡Que terrible manera de recordar a una persona!"""
st_042115_0050#0,"""H-Hitsugi..!, ¡Estoy feliz!, ¡Estoy tan aliviada!"""
st_042115_0060#0,"""Estoy aliviada, Hitsugi! Tan contenta de que vinieras..!, ¡Crei en ti!"""
st_042115_0070#0,"""K-Kohri, ¿No estas exagerando un poco?... Espe- ¡No puede ser!-"""
st_042115_0080#0,"""Yo no hice nada. Nada en absoluto. Yo fui un estudiante graduado de aquí. También fui el Presidente Estudiantil de aquí hace 5 años."""
st_042115_0090#0,"""El anterior Presidente Estudiantil... Entonces también formas parte de \""Mother Cluster\""."""
st_042115_0100#0,"""Todos los Presidentes Estudiantiles de aquí, sin excepciones, son parte de \""Mother Cluster\"" ¿Verdad? Por supuesto, no soy diferente."""
st_042115_0105#0,"""Yo estaba caminando mas adelante y pense en parar para hacer una visita. Ha pasado tiempo desde que me senti como un senpai aquí, pero, fui un poco lejos, supongo."""
st_042115_0110#0,"""Queria preguntarle a los estudiantes de la High School sobre lo que pensaban de nuestras aplicaciones de Monitor, aunque eso puede esperar hasta la proxima vez. Bueno... Te vere por ahi, Hitsugi Yasaka."""
st_042115_0120#0,"""Kohri, está todo bien ahora, ese pervertido ya se fue... ¿Kohri?, ¿Estas realmente bien?"""
st_042115_0130#0,"""...Dime, Hitsugi. ¿Recuerdas el momento en que \""Mother\""... Te invito a \""Mother Cluster\""?"""
st_042115_0140#0,"""Todavia lo recuerdo hasta ahora. Es algo que nunca olvidare."""
st_042115_0150#0,"""En aquel entonces, no tenia amigos. Estaba sola... Fue entonces cuando [Mother] Comenzo a guiarme. Llevandome a \""Mother Cluster\""."""
st_042115_0160#0,"""Y luego, pude conocerte, Hitsugi. [Mother] Se aseguro de que te conociera."""
st_042115_0170#0,"""Para mi yo solitario, eres mi primer amiga. Mi primera persona importante."""
st_042115_0180#0,"""Porque segui las palabras de [Mother]... Es gracias a [Mother] Que soy capaz de reunirme y llevarse bien contigo, Hitsugi... Y entonces-tambien..!"""
st_042115_0190#0,"""Kohri ..."""
st_042115_0200#0,"""...Hitsugi, No iras a ningún lado ¿Verdad? Tu lugar está aquí, Hitsugi."""
st_042115_0210#0,"""Todo estara bien si escuchas a \""Mother\"". Todo el mundo estara feliz. Así que... No vayas a ninguna parte, ¿De acuerdo?"""
st_042115_0220#0,"""...Lo que [Mother] dice, eh."""
st_042115_0230#0,"""El sentido de confianza con [Mother] es increible."""
st_042115_0240#0,"""...¿Quien es exactamente [Mother]? Parece que es una existencia abrumadora."""
st_042115_0250#0,"""Por otra parte, el hermano de Hitsugi menciono que sus diferencias de altura son algo similar a cosas de padre a hijo."""
