un_043030_0010#0,"""¿Oh? Oh my!!"""
un_043030_0020#0,"""¿Huh?- Uwaaaah! ¡Me asustaste!"""
un_043030_0030#0,"""Fufufu~ No hay necesidad de estar asustado, yo soy un ARKS de pleno derecho, ¿Sabes?"""
un_043030_0040#0,"""Sin ofender, pero si eres un ARKS o no, estoy bastante seguro de que alguien se sorprendería al encontrar a alguien de pie justo detrás de el."""
un_043030_0050#0,"""Si estuviera en su posición,<br>yo le dispararía de inmediato."""
un_043030_0060#0,"""Eso va más allá de ser sorprendido!"""
un_043030_0070#0,"""Fufufu~ Una reacción tan ingenua, se siente tan fresca. ¿Es su nueva amiga?"""
un_043030_0080#0,"""1. Quiero que te lleves bien con ella."""
un_043030_0090#0,"""2. Nunca cambias, ¿Verdad?"""
un_043030_0100#0,"""My oh my~ No te voy a negar, pero tengo la intención de ser amable y llevarse bien con todo el mundo."""
un_043030_0110#0,"""Bueno, no sé lo que piensan los demás, sin embargo."""
un_043030_0120#0,"""Por supuesto. Incluso si es 2 años, o 100 años, incluso. No importa cuánto tiempo pase, la gente no cambia eso fácilmente."""
un_043030_0130#0,"""¿Y quién eres, jovencita?"""
un_043030_0140#0,"""Mi nombre es Hitsugi, el niño pequeño es Aru y..."""
un_043030_0150#0,"""No estoy pidiendo tu nombre. ¿QuIÉN ERES TÚ?"""
un_043030_0160#0,"""Umm... Pues-"""
un_043030_0170#0,"""Bueno, sin importar quien seas, si eres un conocido de <%me>, entonces está bien. Realmente no me importa."""
un_043030_0180#0,"""Ah... Ya veo."""
un_043030_0190#0,"""¿Qué tal esto? Como un signo de que nos llevemos bien, vamos a disparar a los demás ~ ¿Qué dices?"""
un_043030_0200#0,"""¿Dispararle a los demas?... ¡¿QuÉ?! Quiero decir... ¡No tengo ese tipo de intereses!"""
un_043030_0210#0,"""Hmm... Qué lástima. Quería saber cómo es dispararte, ya que no eres como los ARKS. Qué lástima."""
un_043030_0220#0,"""Si alguna vez te apetece cambiar de opinión, no dudes en llamarme en cualquier momento. Estaré más que feliz de dispararte~"""
un_043030_0230#0,"""Podría terminarte disparando de todos modos.<br>Fufu~ Fufufu~ Hahahahaha~"""
un_043030_0240#0,"""Sé que esto es absurdo, pero ARKS seguro tiene un montón de gente rara alrededor."""
un_043030_0250#0,"""Pero, de alguna manera esa persona... Estoy un poco asustada. Se sentía como si ella viera a través de nosotros, ¿Verdad Aru?"""
un_043030_0260#0,"""No estaba asustado. De hecho, se sentía más bien como bondad."""
un_043030_0270#0,"""¿Eh?! ¿Realmente se sentía amable?..."""
