un_049110_0010#0,"""...Como decía, ¡Queremos uno de esos también!"""
un_049110_0020#0,"""Umm ...Incluso si preguntas con una dulce voz... ¡Oh, <%me>!, ¡Por favor salvame!"""
un_049110_0030#0,"""1. ¿Qué están haciendo?"""
un_049110_0040#0,"""2. ¿Obteniendo información?"""
un_049110_0050#0,"""Hah... No. Es sólo Patty quejándose."""
un_049110_0060#0,"""¡Solo quiero un título genial, como Guardian, como el que ustedes tienen!"""
un_049110_0070#0,"""Comenzó a gritar cosas así..."""
un_049110_0080#0,"""Un título exclusivo... ¡Genial! Aunque nos llamamos \""ARKS No. 1 Distribuidoras de información\"", eso es auto-proclamado ¿Verdad?"""
un_049110_0090#0,"""Ehh!...<br>¿Patty, sabías que era autoproclamado?"""
un_049110_0100#0,"""¡Por eso, solo un favor!, ¡Queremos autorización de ARKS, así de simple!"""
un_049110_0110#0,"""Incluso entonces, esas ideas provienen del Comandante en Jefe Ulc. No hay nada más que pueda hacer."""
un_049110_0120#0,"""Hablando de eso, ¿Por qué hay títulos<br>exclusivos como ese, en lugar de ser<br>asignados a el consejo de los seis?"""
un_049110_0130#0,"""Bueno, al principio hubo conversaciones sobre la asignación de <%me> y Matoi como nuevos miembros."""
un_049110_0140#0,"""Sin embargo, el consejo de los seis son aquellos que priorizan su juicio como ARKS, en lugar de su propio juicio."""
un_049110_0150#0,"""Sin embargo, <%me> y Matoi no son así, por lo que se tomó una decisión."""
un_049110_0160#0,"""Entonces por esa decisión fue que se hizo un nuevo título. Parece inútil restringir a esos dos bajo ese rol."""
un_049110_0170#0,"""Eso no fue un cumplido, ya sabes. Significa que estamos atrapados tratando tus decisiones."""
un_049110_0180#0,"""Ahh, debe ser bueno... El papel del Guardián,<br>¿Verdad? eso significa que eres libre de<br>hacer lo que sea, ¿Verdad?"""
un_049110_0190#0,"""Uhh, creo que la opinión de Patty sobre ser libre, difiere de la libertad que se les permite expresar."""
un_049110_0200#0,"""¡Quiero uno de esos también!, ¡No es como ser miembro de la Unidad de Combate, sino tener un título exclusivo!, ¡Quiero uno de esos! Eh, eh, ¿Puedes, puedes?"""
un_049110_0210#0,"""Incluso si me molestas así, lo que no es posible, no es posible."""
un_049110_0220#0,"""¡Los sueños siempre se harán realidad si no te rindes! pero bien, ¿Cómo se obtiene un título exclusivo?"""
un_049110_0230#0,"""Hmm, déjame ver... ¿Quizás haciendo algo increíble como <%me>?"""
un_049110_0240#0,"""Algo increíble..? ¡Oh, creo que tengo algo!, ¡Hemos ayudado a proporcionar y guiar a está persona gran información!"""
un_049110_0250#0,"""No inventes mentiras, hermana!"""
un_049110_0260#0,"""...supongo que si obtuvieras información increíble que fuera suficiente para voltear la historia completa de ARKS al revés, ¿Creo que sea<br>posible?"""
un_049110_0270#0,"""Oh, ¡Oh, algo increíble que nadie sabe del todo! Muy bien, vamos a buscar está información.<br>¡Tiene que haber algo afuera!"""
un_049110_0280#0,"""...Excelente, ella cayó en la trampa. Con suerte, a está velocidad, lo tomará en serio está vez."""
un_049110_0290#0,"""Tea!, ¡Alguien más lo encontrará antes de que lo hagamos, vamos a movernos ya!, ¡Vamos, vamos!"""
un_049110_0300#0,"""Perdón por los problemas que les hemos dado. Nos despediremos por ahora."""
un_049110_0310#0,"""Sí, sí, Patty, ¿Qué estamos buscando está vez?"""
un_049110_0320#0,"""¡Cómo exterminar a Profound Darkness, de una vez por todas!, ¡Lo resolveremos antes que Xiao!"""
un_049110_0330#0,"""¿En serio?... Bueno, podrías obtener un título exclusivo con eso."""
