st_043070_0001#0,"""A.D.2028/4/2/18:30"""
st_043070_0010#0,"""INTERESANTE... ¡DEMASIADO INTERESANTE! Como era de esperarse, el video en vivo es el mejor! ¡No puedo detener mi IMAGINACIÓN!"""
st_043070_0020#0,"""¡JOVENCITA Hitsugi! ¡Tus movimientos superaron mis expectativas! ¡Éste es el tipo de película que deseé!"""
st_043070_0030#0,"""Una vez que encuentre un LUGAR y obtenga todos los extras listos para responder a todas sus acciones... llegaremos al verdadero negocio, ¿de acuerdo?!"""
st_043070_0040#0,"""1. Se escapó..."""
st_043070_0050#0,"""2. ¿Estás bien, Hitsugi?"""
st_043070_0060#0,"""Eso es correcto... Sus lecturas han desaparecido."""
st_043070_0070#0,"""Es preocupante que el otro lado esté más en sintonía con el uso de Ether. Es completamente diferente a la lucha contra Darkers."""
st_043070_0080#0,"""Hitsugi, ¿estás bien?"""
st_043070_0090#0,"""Lo siento, todavía estoy enfadada... Gracias por salvarme."""
st_043070_0100#0,"""Estoy bien... Pero mi hermano... Es mi culpa que él..."""
