un_042020_0001#0,"""A.D.2028/3/24"""
un_042020_0010#0,"""Haaaaah... Aahhhh... Ha pasado un tiempo desde que caminé tanto."""
un_042020_0020#0,"""Como te dije, vuelve a tu habitación."""
un_042020_0030#0,"""Hitsugi, ya que un amigo me dijo que fuera de compras, creo que es justo que me dedique un poco."""
un_042020_0040#0,"""Hola, Aru. Ven y duerme conmigo. La cama de hitsugi es taaan suave y esponjosa."""
un_042020_0050#0,"""Yo se, verdad. También he dormido allí."""
un_042020_0060#0,"""Has... dormido... ¡Aquí !? E-espera un minuto Hitsugi!, ¡Que quiso decir con eso!"""
un_042020_0070#0,"""¡Sacate esa idea de la cabeza! Aru apareció en la cama sin que yo me diera cuenta."""
un_042020_0080#0,"""Así que eso significa que... El aroma de Hitsugi y Aru está mezclado en está cama."""
un_042020_0090#0,"""Y ahora, encima de eso está mi olor. ¡Qué fusión tan milagrosa!"""
un_042020_0100#0,"""Me estás asustando, así que para."""
un_042020_0110#0,"""...Ahora que lo pienso, estoy sudando bastante."""
un_042020_0120#0,"""Es muy húmedo aquí también. Aru también está sudoroso, ¿Verdad?"""
un_042020_0130#0,"""...Me siento un poco aburrido ahora."""
un_042020_0140#0,"""Bien, ya que es un buen momento, vamos a entrar al baño antes de que los demás lleguen. Pasamos mucho por comprar esa ropa después de todo."""
un_042020_0150#0,"""E-espera un minuto Hitsugi."""
un_042020_0160#0,"""¿Qué?"""
un_042020_0170#0,"""¿Qué vamos a hacer con Aru?"""
un_042020_0180#0,"""...Ah"""
un_042020_0190#0,"""Umm... ¿Deberíamos omitir la siguiente escena?, ¿Qué opinas?"""
un_042020_0200#0,"""1. Mirar es malo."""
un_042020_0210#0,"""2. La recolección de datos es vital."""
un_042020_0220#0,"""No estamos mirando en absoluto!, ¡Esto es para recoger datos buenos y honestos!"""
un_042020_0230#0,"""No estamos haciendo nada malo!, No hay nada por lo que ser culpable... Es el trabajo! Sí, eso es lo que es."""
un_042020_0240#0,"""...Pero, con eso dicho, usted todavía lo miraría conmigo correcto, <%me>? Qué tortuos@ eres."""
un_042020_0250#0,"""¡Tales palabras en negrilla!"""
un_042020_0260#0,"""...¡Entiendo! Si <%me> está realmente preparad@ para ello, cooperaré plenamente con usted!"""
un_042020_0270#0,"""...Pero, con eso dicho, usted todavía lo miraría conmigo correcto, <%me>? Qué tortuos@ eres."""
