un_044010_0001#0,"""A.P.241/？/？/？"""
un_044010_0010#0,"""Está bien, todo el mundo es un principiante en el comienzo! Pero cuando llegue mañana, serás un veterano experimentado!, ¡Todo funcionará al final!"""
un_044010_0020#0,"""Así que sólo está vez... ¡Puedes fingir que te engañaron y probar al Bouncer!"""
un_044010_0030#0,"""Uhm, incluso si usted dice eso, no soy realmente..."""
un_044010_0040#0,"""¡Venga!, ¡Sabes que quieres! Si usted aplica ahora, incluiré mi fácil de usar Dual Blades!, ¡Es un trato maravilloso!"""
un_044010_0050#0,"""¿No es esto una forma rara de reclutar gente? Y además, no soy ARKS, así que probablemente no manejaría una clase así muy bien..."""
un_044010_0060#0,"""Ah! <%me>!, ¡Ayudame, por favor!"""
un_044010_0070#0,"""Oh, <%me>. Está joven es tu amiga, ¿Verdad?"""
un_044010_0080#0,"""Eso es una razón mas para tratar de ser un Bouncer!"""
un_044010_0090#0,"""Después de todo, está era una clase creada por <%me>!"""
un_044010_0100#0,"""Espera, ¿De verdad? ¡¿Es?!"""
un_044010_0110#0,"""No"""
un_044010_0120#0,"""Saga!, ¡Se supone que me apoyes!"""
un_044010_0130#0,"""No estoy respaldando una mentira."""
un_044010_0140#0,"""Bien... Yo podría haber sido exagerando cuando digo que \""creación\"", pero fue una gran parte de su difusión!"""
un_044010_0150#0,"""...De Verdad?"""
un_044010_0160#0,"""¡Sí, sí, eso es correcto!"""
un_044010_0170#0,"""1. Fue Katori quien difundió Bouncer"""
un_044010_0180#0,"""2. Fue Saga quien difundió Bouncer"""
un_044010_0190#0,"""3. Los dos juntos difundieron Bouncer"""
un_044010_0200#0,"""Wha... Para que decir una cosa tan poderosa para mí... Estoy tan feliz de estar vivo!"""
un_044010_0210#0,"""<%me>... Por favor, no moleste demasiado a Katori. En realidad no ha crecido."""
un_044010_0220#0,"""¡Hey!, ¡Es grosero asentir y estar de acuerdo con él!"""
un_044010_0230#0,"""Bueno, ciertamente... No, soy inútil, tal vez porque soy corto... Quizás porque no era un buen-..."""
un_044010_0240#0,"""...Honestamente. Aunque no puedo negar ese hecho, esa declaración es más que una exageración."""
un_044010_0250#0,"""Bueno, uh, definitivamente, pero aun así!"""
un_044010_0260#0,"""Saga realmente se sonroja al oírte decir eso tan audazmente!"""
un_044010_0270#0,"""Ah. Me siento igual que <%me>."""
un_044010_0280#0,"""¿¡Saga!?"""
un_044010_0290#0,"""La clase Bouncer ha sido reconocida por muchos en ARKS."""
un_044010_0300#0,"""Su propagación nunca ha sido sólo el poder de una persona, sino de muchos cooperando. Gracias a <%me>, y gracias a la personalidad de Katori también."""
un_044010_0310#0,"""サガさん……"""
un_044010_0320#0,"""...Espere. ¿Mi personalidad?, ¿Entonces no he ayudado tanto?"""
un_044010_0330#0,"""Hermana mayor... ¿Qué significa eso?"""
un_044010_0340#0,"""Creo que significa que está señorita miente mucho."""
un_044010_0350#0,"""¡Que malo!"""
un_044010_0360#0,"""Esos dos no son ARKS, ¿Verdad? Como de costumbre, pareces estar en medio de asuntos problemáticos."""
un_044010_0370#0,"""No intentaré detenerte. Ayudar a la gente es sólo quien eres, como la forma en que Katori anuncia bouncer como pueda. Nadie se detendría sólo porque lo digo, ¿Verdad?"""
