st_044075_0001#0,"""A.D.2028/xx/xx/xx:xx"""
st_044075_0010#0,"""Hablando de eso, Las Vegas ha sufrido múltiples ataques, pero... ¿Por qué Mother no atacó directamente bajo tierra?"""
st_044075_0020#0,"""Mirando hacia atrás en el comportamiento de Bethor, esperaba explosiones subterráneas. Es un poco inesperado, o más bien... Aterrador."""
st_044075_0030#0,"""Simplemente significa que el alboroto del director en Tokio fue solo una excepción. Eso también demuestra el por qué fue purgado."""
st_044075_0040#0,"""De hecho... Mother Cluster parece evitar tomar acciones que dañen a la Tierra misma. Hemos presenciado esto a menudo."""
st_044075_0050#0,"""E incluso si quisieran atacar, es posible que no sepan la ubicación exacta bajo tierra."""
st_044075_0060#0,"""En otras palabras, en lugar de causar una destrucción a gran escala, es más rápido para atraernos con pequeños estallidos."""
st_044075_0070#0,"""Dicho esto, nos están emboscando una y otra vez... No sería extraño que ya se hayan cansado de eso."""
st_044075_0080#0,"""Lecturas Phantom detectadas!...<br>Así como las lecturas de varias personas."""
st_044075_0090#0,"""¡¿Varias personas?!"""
st_044075_0100#0,"""Habla del demonio, eh... No importa, los interceptaremos."""
st_044075_0110#0,"""Enga... Sé que no puedo cambiarte de opinión, pero... Ten cuidado."""
st_044075_0120#0,"""Si me animas, al menos hazlo honestamente, ¿Huh?"""
st_044075_0130#0,"""Hermano mayor, yo también voy!"""
st_044075_0140#0,"""Vas a estar peleando con personas. Esto es diferente de la lucha contra Bethor."""
st_044075_0150#0,"""Esta es una pelea real. ¿Puedes hacerlo realmente?, ¿Puedes cortar y matar a otra persona?"""
st_044075_0160#0,"""¡Por supuesto! Eliminaré a todos los miembros de Mother Cluster!"""
skit01#0,"""¿Por qué estas aquí?"""
skit02#0,"""Un triste reencuentro"""
