un_047020_0010#0,"""Oh, <%me>! ¿Acabas de regresar?"""
un_047020_0020#0,"""¡Acabamos de terminar nuestra reunión ahora mismo!"""
un_047020_0030#0,"""La nuestra ha pasado a prolongarse durante tanto tiempo. No estaban bromeando sobre el congreso de baile."""
un_047020_0040#0,"""Si Sara no se oponía a mi propuesta, ¿podría haber terminado sin problemas?"""
un_047020_0050#0,"""¿Cómo podríamos pasar algo tan arruinado? Yo sería reprendido por Maria."""
un_047020_0060#0,"""La terminación de las restricciones de armas y el suministro inmediato de armas poderosas. Sigo pensando que es una buena idea."""
un_047020_0070#0,"""No podríamos estar al día. Y, ¿dónde espera reunir los recursos necesarios?"""
un_047020_0080#0,"""Usted realmente necesita dejar de decidir todo por impulso."""
un_047020_0090#0,"""Ahora, ahora, ustedes dos, lo hecho está hecho!"""
un_047020_0100#0,"""Lo siento por eso. Acabamos de terminar una reunión con los representantes de cada unidad."""
un_047020_0110#0,"""Creo que ya lo sabes, pero yo soy el Comandante de la Unidad de Combate!"""
un_047020_0120#0,"""¡Y soy el segundo al mando de esa unidad!"""
un_047020_0130#0,"""Esta es una selección peligrosa de personal. Bueno, supongo que no importa, ya que son tareas sencillas."""
un_047020_0140#0,"""La Unidad de Asuntos Generales de la que soy parte, no es más que tareas. La gestión de los recursos y."""
un_047020_0150#0,"""Regius quería la Unidad de Instructores, así que María se convirtió en la Comandante de la Unidad de Asuntos Generales, pero debías haber visto la mirada en su rostro cuando se decidió."""
un_047020_0160#0,"""Gracias a él, la mayor parte del trabajo fue empujado hacia mí, y ha sido molesto."""
un_047020_0170#0,"""Muy bien ustedes dos, el tiempo de descanso termina aquí! Volvamos a nuestras unidades y compilemos nuestros informes!"""
un_047020_0180#0,"""<%me>! Vamos a luchar juntos la próxima vez!"""
un_047020_0190#0,"""Volveré también. Nos vemos más tarde, <%me>."""
