un_042010_0010#0,"""¡Oye mi amigo!"""
un_042010_0020#0,"""No hay razón para estar tan avergonzado.<br>Estoy hablando contigo, tú! Alguien que<br>comparte mi propia voluntad,<br>en otras palabras, mi mejor amigo!"""
un_042010_0030#0,"""Hey, hey, Josephine,<br>deja de picotearme, para.<br>No soy la cena, ya sabes."""
un_042010_0040#0,"""Oh, amigo mío, está es tu primera vez<br>en conocerla. ¿Cómo está Josephine?<br>¿No es linda? Su enorme apetito<br>también es parte de su encanto."""
un_042010_0050#0,"""Esa mirada penetrante que ella me da<br>a veces también es linda, ¿Sabes?"""
un_042010_0060#0,"""¡Oh, es cierto! ¿Le está dando a tus<br>hijos la energía adecuada que necesitan?"""
un_042010_0070#0,"""Son una existencia única después de todo;<br>suministramos la fuente de energía a<br>medida que maduran."""
un_042010_0080#0,"""De alguna manera, el amor que derrama<br>nos lleva a los cielos.<br>¿No es cierto, Josephine?"""
un_042010_0090#0,"""Hahaha, ahora, ahora, ser torpe no es bueno.<br>Parece que tiene hambre.<br>Me voy a ir ahora, amigo mío."""
un_042010_0100#0,"""Jajaja, Josephine,<br>no tienes que ponerte tan nerviosa.<br>He preparado una cena extraordinaria hoy."""
un_042010_0110#0,"""¡Maldición, eso estubo cerca!<br>Whoa, whoa,<br>¿Estás apuntando a los globos oculares?<br>Usted pequeño bribón que, hahaha."""
