un_044030_0010#0,"""Oh, <%me>.<br>¿Qué haces sol@?"""
un_044030_0020#0,"""Ah, ¡Creo que ya sé! Has venido a verme, ¿Verdad? Es muy difícil ser una ídol popular."""
un_044030_0030#0,"""1. Está bien"""
un_044030_0040#0,"""2. Es pura coincidencia"""
un_044030_0050#0,"""...Cuando usted lo dice así, suena medio de corazón y me duele."""
un_044030_0060#0,"""Incluso cuando usted broma así, yo pensaría \""¿Cómo podría usted?\"""""
un_044030_0070#0,"""¡Oh, Verdad! Tal vez te sorprenderá si uso está forma."""
un_044030_0080#0,"""...¿Qué tal eso?, ¿Te he sorprendido?"""
un_044030_0090#0,"""Ha pasado un tiempo desde la última vez que he mostrado está forma. He sido despedida de los deberes."""
un_044030_0100#0,"""Terminé como vicecomandante de la unidad de inteligencia, debido a una sugerencia de Casra. Sin embargo, eso no es más que un título. Todo lo que hay que hacer es simplemente papeleo y aprobaciones."""
un_044030_0110#0,"""Si tuviera que ser honesta... Estaba un poco asustada cuando volviste."""
un_044030_0120#0,"""Tal vez debido a los efectos secundarios de Mai, me dijeron que podrías terminar olvidando quién soy..."""
un_044030_0130#0,"""Pero todo está bien ahora. Seguiste recordándome y nunca me olvidaste."""
un_044030_0140#0,"""Ahora, ya no necesito luchar tan imprudentemente."""
un_044030_0150#0,"""Has vuelto."""
un_044030_0160#0,"""Y más importante..."""
un_044030_0170#0,"""Prefiero cantar y bailar creando sonrisas delante de todos, en lugar de pelear. Me encanta eso más que nada."""
un_044030_0180#0,"""¡La ídol de todos, Quna, está para siempre inmortalizada! Es por eso que siempre estoy contando con tu apoyo, <%me>!"""
