un_046020_0010#0,"""Oh, <%me>!, ¡Por fin llegamos a encontrarnos nuevamente!"""
un_046020_0020#0,"""Terminé despertando antes que tú, y me han estado examinando por todas partes... ¡Se siente como si hubiera sido por siempre!"""
un_046020_0030#0,"""Haha, realmente ha sido un largo tiempo... Estoy un poco perdida, para ser honesta. ¿De qué debo hablar primero?"""
un_046020_0040#0,"""Oh, vamos a empezar con los eventos recientes!"""
un_046020_0050#0,"""Gracias por venir a mi rescate. En ese momento, yo era la única que podía luchar. Para decirte la verdad, estaba un poco asustada."""
un_046020_0060#0,"""1. Es gracias a Hitsugi"""
un_046020_0070#0,"""2. Hiciste un buen trabajo"""
un_046020_0080#0,"""¡Sí! Como Hitsugi abrió un camino, <%me> pudo venir a ayudarme."""
un_046020_0090#0,"""...Mhmm, hehehe lo intenté. Hice lo mejor que pude."""
un_046020_0100#0,"""Pudimos hacerlo porque todos trabajaron juntos. <%me> y Hitsugi también... Me alegra que hayas vuelto."""
un_046020_0110#0,"""Yo tenía la intención de alentar a Hitsugi, pero parece que salió el tiro por la culata... Estaba muy preocupada."""
un_046020_0120#0,"""Pero, ella fue capaz de volver... Y ella realmente tenía determinación en sus ojos."""
un_046020_0130#0,"""Así que, de ahora en adelante, tenemos que apoyarla adecuadamente para que ella no maneje todo sola."""
un_046020_0140#0,"""Hey... Solo se considera mi camino, ¿Verdad? Estabas pensando en mi antiguo yo?"""
un_046020_0150#0,"""Está bien, no me perderé de nuevo. Si algo sucede, definitivamente confiaré en ti, <%me>."""
un_046020_0160#0,"""Ya no estoy sola... Nunca lo olvidaré."""
linewindow001#0,"""Ahora puedes llamar a Matoi (EP4) como compañera."""
