st_047060_0001#0,"""A.D.2028/4/23/13:30"""
st_047060_0010#0,"""Huhah... Hahahahahahahahaha!, ¡Bien hecho, magnífico trabajo derrotándome!"""
st_047060_0020#0,"""Mi voluntad que sirve a Mother y tu voluntad que quiere detener a Mother... Si esto es el resultado de una batalla completa, no me arrepiento."""
st_047060_0030#0,"""...Aratron. ¿Por qué irías tan lejos por Mother?"""
st_047060_0040#0,"""Esto no tiene nada que ver con el bien o el mal, Kohri Washinomiya. Esto es simplemente lo que mi corazón me dice que haga."""
st_047060_0050#0,"""Conocí a Mother, y vi que el mundo cambiaria, caminando junto a Mother, simplemente quería ver el mundo que crearía Mother. Eso es todo."""
st_047060_0060#0,"""Mi viejo corazón, marchito y desgastado, se calentó al encontrarse con Mother. Si no sigo mi corazón, ¿Qué debo seguir?"""
st_047060_0070#0,"""Jovencita... Hitsugi Yasaka, ¿Verdad? lo has encontrado también, ¿Verdad? Cómo tu corazón tiene sus propios deseos."""
st_047060_0080#0,"""Hoho, esos son ojos llenos de determinacion."""
st_047060_0090#0,"""Si tu corazón quiere enfrentar a Mother, entonces síguelo y trata de destruirla."""
st_047060_0100#0,"""Cumple tus deseos... Eso es lo que significa estar vivo."""
st_047060_0110#0,"""¿No es así, <%me>? un guerrero del campo de batalla como tú seguramente entiende, ¿Verdad?"""
st_047060_0120#0,"""ESC-A Darkers... Está cantidad... ¿Dónde los hicieron?"""
st_047060_0130#0,"""Mother no puede retenerlos a todos. Debido a que este lugar está lleno de Ether, simplemente siguen apareciendo. Que fastidio"""
st_047060_0140#0,"""¿Aratron?"""
st_047060_0150#0,"""Perdí. y tu ganaste. Por lo tanto, seguirás adelante. Y me quedaré aquí. Eso es eso."""
st_047060_0160#0,"""No hay necesidad de preguntas, Kohri Washinomiya. Avanza y no mires hacia atrás. Solo continua avanzando."""
st_047060_0170#0,"""Mire hacia atrás solo cuando haya terminado. Una vez que hayas llegado al final de la meta, solo entonces deberás mirar atrás."""
st_047060_0180#0,"""...Vamonos. No dejes que el sacrificio de este viejo sea en vano."""
st_047060_0190#0,"""Pero!..."""
st_047060_0200#0,"""Vamonos. Sigue moviendote. Adelante. De lo contrario, te quedarás atrás..."""
st_047060_0210#0,"""Hoho. Entonces, aquí es donde termina mi camino, y otro comienza... Fue como un sueño fugaz muy agradable, no me arrepiento."""
st_047060_0220#0,"""Y el camino que nacerá de las cenizas mías es tan deslumbrante, tan vívido... Es áspero, pero en eso reside su belleza. Así es como debe ser el futuro."""
st_047060_0230#0,"""¿Eso fue suficiente? Te di mi todo hasta el final, ¿He logrado transmitirle mi voluntad? El final de mi camino estára aquí..."""
