un_047060_0010#0,"""Oh, <%me>. Tomando un<br>descanso también? Jeje, yo también."""
un_047060_0020#0,"""Mientras mi cuerpo se está purificando completamente, si me forzo demasiado, Philia se enfadará conmigo. Así que tomo descansos de vez en cuando."""
un_047060_0030#0,"""Además, la nave ARKS ha cambiado mucho desde nuestro descanso, así que es divertido simplemente pasear."""
un_047060_0040#0,"""<%me>. Esa persona de<br>hace un momento, creo que es el representante de la clase Summoner, Pietro. ¿Verdad?"""
un_047060_0050#0,"""Ugh.<br>Oh my friend y su pareja. ¿Están los Guardianes con descanso?"""
un_047060_0060#0,"""Eh, ehhh?! pareja..!?<br>A veces pienso que sería bueno, pero cuando lo pones de esa manera..!"""
un_047060_0065#0,"""Eh, ehhh?! pareja..!? Sé que entre las chicas, se utiliza como amigos, pero cuando lo dices así..!"""
un_047060_0070#0,"""Parejas, qué cosa tan maravillosa. Sean amigos o mascotas, creo que se debe siempre tenerlas cerca."""
un_047060_0080#0,"""Hmmm... Hmmmmm."""
un_047060_0090#0,"""1. ¿Ocurre algo?"""
un_047060_0100#0,"""2. Cuídate entonces"""
un_047060_0110#0,"""¡Ah, amigo mío, sabía que me escucharías! Los amigos son realmente lo que usted necesita en la vida!"""
un_047060_0120#0,"""¡Por favor, espera, amigo mío!<br>¿No debería estar preguntando \""¿Qué pasó?\"", Como un amigo?"""
un_047060_0130#0,"""Ya ves, me golpeó justo ahora. Pienso, que mis mascotas a las que amo, en realidad no me aman."""
un_047060_0140#0,"""Espera a mi amigo! Por favor, no hay necesidad de decir más!, ¡Entiendo! Entiendo que no es posible."""
un_047060_0150#0,"""Yo, no puedo ser perdonado. Yo que dudaba de su amor nunca tan ligeramente!"""
un_047060_0160#0,"""Por eso está soledad es un castigo para mí. ¡Lo han entendido así y no me han mirado ni han intentado retenerme!"""
un_047060_0170#0,"""1. ¿No solo estás siendo ignorado?"""
un_047060_0180#0,"""2. No te hagas daño por eso"""
un_047060_0190#0,"""Shhh!<br><%me>!, ¡No digas eso!"""
un_047060_0200#0,"""¡Está bien! Lo que <%me> dijo!"""
un_047060_0210#0,"""Sabes, si te sientes triste, estoy seguro de que tus mascotas sienten lo mismo."""
un_047060_0220#0,"""Ésta era la parte en la que se suponía que debías asentir."""
un_047060_0230#0,"""¡Hey Mira!"""
un_047060_0240#0,"""¡O-oh! ¿¡E-Elizabeth!?"""
un_047060_0250#0,"""No, no. ¡Manténgase alejada!, ¡No tengo derecho a enfrentarte a todos! Soy una persona terrible."""
un_047060_0260#0,"""¡El amor que me has dado en forma de golpes, bofetadas y mordiscos!"""
un_047060_0270#0,"""Dudaba que el amor, pensé brevemente que \""tal vez estoy siendo atacado es porque no me gustan?\"""""
un_047060_0280#0,"""Aunque no puedes hablar, usaste tu cuerpo para mostrar tu amor, y yo dudaba de todo. Qué horrible, soy un fracaso de SUMMONER"""
un_047060_0290#0,"""N-no, ¡Alejate, Elizabeth!, ¡No te acerques más a mí! Estoy, estoy..."""
un_047060_0300#0,"""Hey, uhh <%me>?, ¿Es sólo yo, o es Pietro quien trata de acercarse?..."""
un_047060_0310#0,"""E-Elizabeth?! Esa demostración de amor... ¿Estás diciendo que perdonarás a alguien como yo?"""
un_047060_0320#0,"""ELIZABETH!!, ¡Gracias Elizabeth!, ¡Gracias!, Nunca te defraudaré de nuevo!"""
un_047060_0330#0,"""Hahaha, Elizabeth! Estás más fea de lo habitual. Debe haber estado solo, ¿Verdad? alli alli alli.. Ow, Ow!"""
un_047060_0340#0,"""¡Ahora entonces, vamos a casa a tener un banquete!, ¡Hoy, será un banquete hecho con el amor!"""
un_047060_0350#0,"""Uhhh, No estoy segura de cómo decir esto, pero..."""
un_047060_0360#0,"""Si no lo han dejado en absoluto, probablemente significa que las mascotas de Pietro no piensan mal de él, ¿Verdad?"""
un_047060_0370#0,"""Oh, hey, no Elizabeth! Vamos a festejar cuando lleguemos a casa, y no soy comid... OW OW OW OW, AHHH OWOWOWOWOW!!"""
un_047060_0380#0,"""...Probablemente."""
