un_044090_0010#0,"""Hmm- Me dijeron que viniera asta aquí, pero...<br>Oh, <%me>.<br>¿La viste por aquí?"""
un_044090_0020#0,"""Usted la conoce. Umm, ¿Cuál era su nombre..."""
un_044090_0030#0,"""Es Aika."""
un_044090_0040#0,"""Eso es todo, Aika, cierto. Hola, ha pasado un tiempo, ¿No?"""
un_044090_0050#0,"""En efecto. Nunca hubiera imaginado verte de nuevo dentro de la nave ARKS, Enga Yasaka."""
un_044090_0060#0,"""1. Entonces, ¿Se conocen?"""
un_044090_0070#0,"""2. ¿Cuál es tu relación?"""
un_044090_0080#0,"""Supongo... Hace un año que nos conocemos, ¿Verdad?"""
un_044090_0090#0,"""Fue durante el tiempo en que permaneci en la Tierra así que... Supongo que fue alrededor de ese período."""
un_044090_0100#0,"""No diría que tenemos una relación. Aunque podría significar lo mismo."""
un_044090_0110#0,"""No digas algo tan inesperado. Hubo un pequeño margen de comunicación durante mi estancia en la Tierra."""
un_044090_0120#0,"""Bueno, para estropear la respuesta, te dije antes que los terrícolas y ARKS habían precedido las interacciones entre sí, ¿Verdad? Es solo que."""
un_044090_0130#0,"""Durante mi estadía y misiones en la Tierra, he recibido una gran cantidad de ayuda de Earth Guide."""
un_044090_0140#0,"""Uno de esos contactos de Earth Guide fue..."""
un_044090_0150#0,"""Básicamente, yo. Acábo de pasar a vivir cerca de la escuela donde Aika estaba infiltrándose."""
un_044090_0160#0,"""El lugar al que Aika fue, se llama\""Academia Seiga\"". Es la escuela hermana de mi escuela, \""Tensei\""."""
un_044090_0170#0,"""Muchas cosas sucedieron durante mi tiempo en la acádemia Seiga... Memoricé todo lo que hice allí. Son mis... Recuerdos preciosos."""
un_044090_0180#0,"""Para que nos reunamos asi, debe ser un signo de predicción. También es reconfortante tener un conocido alrededor."""
un_044090_0190#0,"""Una vez más, espero trabajar con usted, Aika."""
un_044090_0200#0,"""Ah, igualmente."""
