ra_043040_0001#0,"""A.P.241/4/2"""
ra_043040_0010#0,"""En cuanto a Mother Cluster, sus detalles es algo de lo que ni la unidad de inteligencia pudo encontrar."""
ra_043040_0020#0,"""Es por eso que su información es tan esencial. Hitsugi."""
ra_043040_0030#0,"""No esperes tanto, apenas sé algo."""
ra_043040_0040#0,"""Nunca he oído hablar de administradores ni apóstoles."""
ra_043040_0050#0,"""La única razón por la que me uní a Mother Cluster es porque un día recibí un mensaje de Mother y fui presentada como miembro de un servicio de medios sociales."""
ra_043040_0060#0,"""Al principio tenía mis dudas, pero las palabras de Mother siempre tenían razón y, finalmente, pude ingresar directamente en PSO2..."""
ra_043040_0070#0,"""Lentamente, empecé a confiar en las palabras de Mother. Admiré que prácticamente lo sabía todo."""
ra_043040_0080#0,"""Los únicos otros miembros que conocía eran los de el consejo estudiantil... Y Kohri."""
ra_043040_0090#0,"""Al final, eso es todo lo que sé. No sé nada más allá de eso."""
ra_043040_0100#0,"""Tenía la impresión de que lo sabía. Aunque nunca cambié, actué como si tuviera."""
ra_043040_0110#0,"""A pesar de que nunca gané nada, creí que había ganado algo."""
ra_043040_0120#0,"""1. Eso es lo mismo para todos."""
ra_043040_0130#0,"""2. Es más divertido no saberlo."""
ra_043040_0140#0,"""Al igual que <%me> dijo, acepte lo que no sabe y esforzarse mucho para comprenderlo. Esa mentalidad es más importante que cualquier otra cosa."""
ra_043040_0150#0,"""También escuché esas palabras antes. Es más interesante no saberlo, creo."""
ra_043040_0160#0,"""Hermana mayor... ¿Es tan malo no saber algo?"""
ra_043040_0170#0,"""Entonces, soy el peor de todos. No sé nada de mí mismo, ni de las cosas que me rodean... Porque no sé..."""
ra_043040_0180#0,"""……アル。"""
ra_043040_0190#0,"""Está bien, Hitsugi. Todos estamos en la misma situación, ¿No es así?"""
ra_043040_0200#0,"""Nunca es tarde para comenzar. Trabajemos duro para aprender todo tipo de cosas juntas."""
ra_043040_0210#0,"""...Okay.  """
