un_042040_0001#0,"""A.D.2028/3/24"""
un_042040_0010#0,"""Estoy agotada...<br>Quién pensaria que ir de compras y bañarse podría ser tan agotador."""
un_042040_0020#0,"""Aru, ¿Cómo está la cama? Debería haber una almohada allí."""
un_042040_0030#0,"""Si, estoy bien."""
un_042040_0040#0,"""De acuerdo, apagaré las luces."""
un_042040_0050#0,"""......Ha, he querido tener un sueño como este durante mucho tiempo."""
un_042040_0060#0,"""Un pequeño cordero, dos pequeños corderos..."""
un_042040_0070#0,"""ひゃっ！？"""
un_042040_0080#0,"""A-Aru?, ¿Qué sucede? Tu cama está ahí."""
un_042040_0090#0,"""Eh... Aru... ¿Estás temblando?"""
un_042040_0100#0,"""Lo siento, hermana mayor... Yo... Tengo miedo de la oscuridad."""
un_042040_0110#0,"""Se siente como que estoy siendo llevado a algún lugar que da miedo..."""
un_042040_0120#0,"""Tengo miedo de volver a donde yo vengo si no estamos juntos..."""
un_042040_0130#0,"""アル……"""
un_042040_0140#0,"""Ven aquí, Aru."""
un_042040_0150#0,"""...Eh, en serio?"""
un_042040_0160#0,"""Soy tu hermana mayor después de todo. No puedo dejar solo a mi hermanito asustado, ¿Verdad? ven rápido."""
un_042040_0170#0,"""...Bueno. Gracias hermana mayor."""
un_042040_0180#0,"""Los sentimientos de Aru, los conozco muy bien. Realmente entiendo cómo se siente."""
un_042040_0190#0,"""Me siento mucho más a gusto cuando hay alguien ahí para mí..."""
un_042040_0200#0,"""¡Eso es porque siempre he estado sola aquí en el puente de la nave, solo.. Me sentí muy sola..."""
un_042040_0210#0,"""Pero bueno, gracias a <%me>, ya no estoy sola. Jeje..."""
