un_044020_0001#0,"""A.P.241/？/？/？"""
un_044020_0010#0,"""Oh, <%me>!<br>We were just talking<br>about you. Come here!"""
un_044020_0020#0,"""We're going to involve Senpai<br>in a conversation about Senpai...<br>You know no fear, Hitsugi."""
un_044020_0030#0,"""That said, you've wanted to<br>talk to <%me> too, right Io?<br>You have that look on your face."""
un_044020_0040#0,"""..."""
un_044020_0050#0,"""..More inportantly, why<br>doesn't Hitsugi address<br>Senpai in a more respectful way?"""
un_044020_0060#0,"""Eh? Now that you've mentioned it...<br>I'm pretty sure I did back then,<br>Xiera included."""
un_044020_0070#0,"""...I wonder when I stopped<br>doing so? I guess it just<br>happened after... a while?"""
un_044020_0080#0,"""We both agreed to not address each<br>other as such, however, maybe you<br>should add in more respect for<br>Senpai? Senpai did save your life, right?"""
un_044020_0090#0,"""You do have a point, Io...<br>Then let's pick one!"""
un_044020_0100#0,"""Pick one?"""
un_044020_0110#0,"""<%me>, you decide<br>how you would want to be addressed as!"""
un_044020_0120#0,"""It's too late for something that formal.<br>So it would feel weak. This is where we go with<br>something such as \""Sama\"" or \""King\""..."""
un_044020_0130#0,"""Just what is Senpai to you, Hitsugi?"""
un_044020_0140#0,"""1. I like \""Sama\"""""
un_044020_0150#0,"""2. I like \""King\"""""
un_044020_0160#0,"""3. I like \""Senpai\"""""
un_044020_0170#0,"""I see, so \""Sama\"".<br><%me>-sama!"""
un_044020_0180#0,"""Huh, didn't we hear that<br>somewhere before?"""
un_044020_0190#0,"""From Katori..."""
un_044020_0200#0,"""Okay, \""King..\""<br>Our Majesty <%me>!<br>How's that sound?"""
un_044020_0210#0,"""...Doesn't that sound embarressing?"""
un_044020_0220#0,"""So? It's from the Medieval period, but I like it."""
un_044020_0230#0,"""That's a bit.."""
un_044020_0240#0,"""Senpai!<br>That feels a bit off."""
un_044020_0250#0,"""No, that's not it.<br>Senpai is Senpai."""
un_044020_0260#0,"""That sounds weird to me.<br>We're right back where we<br>started from, so..."""
un_044020_0270#0,"""I hate to be the one<br>who says it, but I<br>think it's too late."""
un_044020_0280#0,"""Bleh. Well, I don't care<br>anymore. I'm just going to call you how I normally would call you."""
