un_043900_0010#0,"""<%me>, ¿Hay algo mal?, ¿Hay algo extraño en con cómo me veo?"""
un_043900_0020#0,"""1. Tu color de pelo, ¿Es eso?..."""
un_043900_0030#0,"""2. El ambiente a tu alrededor parece un poco extraño."""
un_043900_0040#0,"""Mi color de cabello Supongo que podrías decir que es... Una característica."""
un_043900_0050#0,"""Oh... Ya veo. Pero soy un simple agente de ARKS."""
un_043900_0060#0,"""No hay realmente un punto en mentir sobre eso, Aika."""
un_043900_0070#0,"""Comandante."""
un_043900_0080#0,"""Al igual que usted, Aika tiene la carga de tener temporalmente el poder Dark Falz. En este punto sin embargo, es más afín a una cicatriz."""
un_043900_0090#0,"""Hace medio año, hubo un incidente en el que Dark Falz 【Apprentice】 había intentado resucitar."""
un_043900_0100#0,"""Con la ayuda de Matoi, pudimos sellar a Dark Falz 【Apprentice】 nuevamente, pero..."""
un_043900_0110#0,"""Yo era un poco imprudente...Este colorante fue el resultado."""
un_043900_0120#0,"""\""Un poco imprudente\"" es una explicación irresponsable. No sólo causó que Matoi -que acábaba de despertar- se involucrara, pero las cosas casi se salían de las manos."""
un_043900_0130#0,"""Eso es cierto... Pero..."""
un_043900_0140#0,"""1. ...Matoi también participó?"""
un_043900_0150#0,"""2. Quiero saber la historia completa."""
un_043900_0160#0,"""Bien. Tal vez este sería un buen momento para explicarlo, ¿No crees, Aika?"""
un_043900_0170#0,"""Había tomado toda la energía Dark Falz de Itsuki y Rina - quiero decir, nuestros aliados - y estaba preparado para ser sellado como consecuencia."""
un_043900_0180#0,"""Pero Matoi, con la intención de salvarme, se la llevó a sí misma, con la intención de redirigirla de nuevo a Lillipa para sellarla de nuevo."""
un_043900_0190#0,"""Sin embargo, Matoi se despertó recientemente, y fue posteriormente en un estado debilitado, y fue incapaz de controlarlo."""
un_043900_0200#0,"""Había comenzado a absorber la energía reunida dentro del cuerpo de Aika en la suya."""
un_043900_0210#0,"""Estoy seguro de que Matoi sabía lo que pasaría."""
un_043900_0220#0,"""Como recipiente para esas energías, Matoi está en un nivel completamente diferente que yo. Conocía las consecuencias de salvarme."""
un_043900_0230#0,"""Incluso si se convirtiera en la 【Profound Darkness】 una vez más, estaba dispuesta a sacrificarse sin mirar hacia atrás."""
un_043900_0240#0,"""Pero entonces algo pasó de la nada."""
un_043900_0250#0,"""\""Dio Hunar\"". Es referido por ARKS como la encarnación de 【Profound Darkness】. Según nuestros registros, estuvo presente por menos de un minuto."""
un_043900_0260#0,"""Sin intenciones de restaurar, ni despertar a Dark Falz 【Apprentice】, absorbió la oscuridad de nosotros dos... Y se fue."""
un_043900_0270#0,"""Simplemente miró a Matoi... Y luego se fue."""
un_043900_0280#0,"""Y eso es lo que pasó. El resto fue en su mayoría limpieza, pero que resultó ser la parte más difícil."""
un_043900_0290#0,"""Mientras Aika había conseguido milagrosamente evitar convertirse en un recipiente para Dark Falz, su cuerpo fue dañado en un grado notable. Me sorprende que haya sobrevivido a está prueba."""
un_043900_0300#0,"""Tengo que agradecer a Matoi por eso. Me tomó medio año para recuperarme, pero estoy caminando bien con un daño mínimo."""
un_043900_0310#0,"""Matoi, por desgracia, tuvo que ser criogenizada temporalmente para purificar la corrupción."""
un_043900_0320#0,"""Debido a sus registros anteriores, estoy seguro de que entiende la alerta completa del equipo médico respecto a su estado."""
un_043900_0330#0,"""Dicho esto, usted no debería tener que esperar mucho más tiempo"""
un_043900_0340#0,"""Recibí un mensaje del equipo médico hace unos días. Deberías poder verla pronto."""
un_043900_0350#0,"""Todavía estoy confundido por las acciones de Dio Hunar."""
un_043900_0360#0,"""¿Por qué se fue sin hacer nada con nosotros? Aún no entiendo por qué."""
un_043900_0370#0,"""Una buena pregunta... Pero no creo que tú ni yo podamos saber. No lo somos, después de todo."""
un_043900_0380#0,"""Sin embargo, es posible que tenga una idea. ¿Estoy en lo correcto?"""
