st_042100_0001#0,"""A.D.2028/3/28/14:00"""
st_042100_0010#0,"""Haah- Comimos mucho, ¿No? tan llena, ¡Estoy realmente satisfecha!"""
st_042100_0020#0,"""Aru también devoro los pasteles y donas de la manera que hicimos tambien."""
st_042100_0030#0,"""Asi es, es igual que nosotras. De tener una comida, reir, ser sorprendido... Eso significa Aru y ese mundo..."""
st_042100_0040#0,"""Ah-no importa. Vamos a tomar un poco de te verde y seguimos nuestro trayecto. ¿Donde está el camarero-"""
st_042100_0050#0,"""Despues de su bebida, por favor tome esto. Es un regalo de mi parte."""
st_042100_0060#0,"""Ah- Umm... ¿Quien eres?"""
st_042100_0070#0,"""Bueno, por favor, no te preocupes por mi. En lugar de agradecerme, debo darle las gracias."""
st_042100_0080#0,"""Hermosas, jovenes, damiselas con su te. Eso realmente sacude mi inspiración. Mas por lo tanto, somos realmente afortunados."""
st_042100_0090#0,"""...Parece que alguien extraño vino a nuestro recorrido. ¿Lo conoces Kohri?"""
st_042100_0100#0,"""¡P-por supuesto que no!, ¡No se quien es este hombre extraño!"""
st_042100_0110#0,"""Chicas, ¿Qué estan murmurando? La gente puede oirlas, saben."""
st_042100_0120#0,"""Para ustedes, señoritas, les recomendaria nuestra Aplicación \""Tora-Tora♪\"" que todavia está en desarrollo."""
st_042100_0130#0,"""Esta aplicación está llena de confianza. Sin hablar, empieza la aplicación y envia tus pensamientos a la otra persona. Es una aplicación de modo telepatica!"""
st_042100_0140#0,"""Es perfecto para intercambiar historias en secreto sin ser escuchado por nadie. Estamos hablando de los secretos de los estudiantes de secundaria. Las flores en flor de las chicas de la escuela secundaria."""
st_042100_0150#0,"""Por lo tanto quiero que ustedes lo prueben antes de que está aplicación sea liberada, pero... ¿Qué les parece?"""
st_042100_0160#0,"""Que persona mas espeluznante tenemos. Incluso nos dio estos monitores para usar. Creo que lo vi en algún lugar antes... Kohri, ¿Segura que no lo conoces?"""
st_042100_0170#0,"""¡D-Deja de preguntar lo mismo!... Creo que lo vimos antes pero... Ni siquiera conozco a este tipo de persona!"""
st_042100_0180#0,"""¿No son hermanos perdidos desde hace tiempo?"""
st_042100_0190#0,"""¡No siento como si fuera parte de mi familia!"""
st_042100_0200#0,"""...Bueno, aunque me comportara como un hermano, no habria arruinado tus vibraciones. Está bien, lo siento."""
st_042100_0210#0,"""Hitsugi... Incluso si está persona espeluznante está relacionada conmigo, no nos parecemos."""
st_042100_0220#0,"""...H-hey ustedes! Es grosero seguir hablando detras de la espalda de la gente!"""
st_042100_0230#0,"""¿Qué? Todos nuestros pensamientos fueron enviados correctamente! Lo sabia, está aplicación es inutil."""
st_042100_0240#0,"""¡Es obvio porque aun no está completamente desarrollado!, ¡Hablas con el monitor!, ¡EL MONITOR!"""
st_042100_0250#0,"""En serio... Las chicas de secundaria en estos dias son de miedo cuando no se detienen... Pero, supongo que es algo bueno."""
st_042100_0260#0,"""Kohri, llama a la policia. Grita \""¡Hay un pervertido aquí!\"", Y deben venir enseguida."""
st_042100_0270#0,"""¡Eres muy contundente!"""
st_042100_0280#0,"""¡¡¡H-HAY UN PERVERTIDO AQUi !!!"""
st_042100_0290#0,"""Detenganse por un momento!"""
st_042100_0300#0,"""Caray, no es como si fueran a venir. Ya hay restricciones dentro de la comunicación de Ether. Informar es solo un desperdicio."""
st_042100_0310#0,"""Veras, soy famoso por aquí. Si consiguio la atención de la gente entonces sera una molestia enorme. Los medios tendran que reducir mas transmisiones."""
st_042100_0320#0,"""...¿Entonces eres un criminal?, ¿Culpable de cargos contra menores?"""
st_042100_0330#0,"""¡Por supuesto no! Mira, aquí está mi identificación!"""
st_042100_0340#0,"""¿Hagith... Anie? Presidente y CEO de YMT Corporation... Espe- Creo que escuche ese nombre antes."""
st_042100_0350#0,"""YMT Corporation- Quieres decir, la empresa que creo la aplicación que utilizamos para comprar la ropa de Aru ese dia?"""
st_042100_0360#0,"""Si, corriendo en la vanguardia de la era de comunicación Ether, soy yo, el joven presidente de la YMT Corporation, Hagith Anie!"""
st_042100_0370#0,"""...Aaah, El militar Otaku eh. ¿Qué podemos hacer, como chicas ordinarias de secundaria, por el famoso \""Joven presidente\"" hoy?"""
st_042100_0380#0,"""...Simplemente chicas de secundaria ordinarias, ¿Eh?"""
st_042100_0390#0,"""¿Hay algo malo con eso?"""
st_042100_0400#0,"""No, por supuesto que no. Pues bien, hermosas damas, gracias por su cooperación. Estoy deseando verlas de nuevo."""
st_042100_0410#0,"""...De alguna manera esa persona emite vibraciones malas..."""
st_042100_0420#0,"""Estoy de acuerdo contigo Aru, es muy raro."""
st_042100_0430#0,"""Como tu, Kohri."""
st_042100_0440#0,"""¡Esta bien!"""
st_042100_0450#0,"""¡Eres tan cruel Aru! Hitsugi, ¿Por qué estuviste de acuerdo con el?"""
st_042100_0460#0,"""Pero... Hitsugi. ¿Quien era esa persona de ase un momento?"""
st_042100_0470#0,"""...No tengo idea. Pero, si sabemos algo."""
st_042100_0480#0,"""Debemos darle una propina por nuestro te verde."""
st_042100_0490#0,"""Ahi está otra vez. La extraña distorsión de los niveles tecnologicos en la Tierra."""
st_042100_0500#0,"""Su software y tecnologia de comunicación son del mismo nivel que el nuestro. Sin embargo, su tecnologia de hardware no está al dia."""
st_042100_0510#0,"""Esto es raro... Es extraño, de verdad. Parece que la llamada particula de comunicación \""Ether\"" está escondiendo algo."""
