ra_043050_0001#0,"""A.P.241/4/3"""
ra_043050_0010#0,"""Entonces, con respecto a los monstruos que aparecen en la Tierra, los Phantoms."""
ra_043050_0020#0,"""El ether dentro de la atmósfera se encarna, toma forma de esos monstruos y ataca."""
ra_043050_0030#0,"""Además, las cosas que los terrícolas generalmente no les gusta, o temen más, se encarnan fácilmente."""
ra_043050_0040#0,"""Deshacerse de las malas imágenes es difícil, supongo que eso es cierto para ambos mundos."""
ra_043050_0050#0,"""Nuevamente, son encarnaciones de ether, por lo tanto, los humanos que no están entrenados para usar ether no pueden verlos físicamente, por lo tanto, parecen no verse afectados."""
ra_043050_0060#0,"""Sin embargo, si se deja solo, el ether que se acumula dentro de los cuerpos se vuelve más transparente y puro. Por lo tanto, una vez que alcanzan un cierto punto, toman formas en las que pueden interferir con la realidad."""
ra_043050_0070#0,"""Si bien un poco inestables, los Phantoms que han alcanzado esta pureza y se han encarnado, han sido referidos como \""Ángeles\"" y \""Demonios\"" por los terrícolas durante la antigüedad."""
ra_043050_0080#0,"""Preferiría que ellos juntaran información más importante que historias fascinantes. Vaya, discúlpame por mi egoísmo."""
ra_043050_0090#0,"""Recientemente, ARKS ha estado lidiando secretamente con el creciente número de Phantoms."""
ra_043050_0100#0,"""Usando información de lo que la Unidad de Inteligencia llama \""aliados\"", estamos llevando a cabo contención de supresión. Antes de que los Phantoms causen algún problema, dispersaremos todas sus piezas."""
ra_043050_0110#0,"""Además, para evitar que los civiles se involucren, cerraremos todas las áreas cuando ocurran combates. Por lo tanto, puedes arrasar todo lo que quiera!"""
