un_045010_0010#0,"""Oh, <%me>! ¿Qué pasa, sorprendido de encontrarme aquí?"""
un_045010_0020#0,"""La situación con nuestro universo se está estableciendo. Por eso, mientras todavía tenemos tiempo, pensé en explorar un poco."""
un_045010_0030#0,"""He leído los informes sobre cómo la situación aquí sigue creciendo. Una confrontación a gran escala es una alta posibilidad."""
un_045010_0040#0,"""Pero eso no significará nada si yo, un símbolo de ARKS, puedo hacer algo al respecto, usando toda mi fuerza!"""
un_045010_0050#0,"""Sin embargo, no siento ninguna diferencia: no parece haber problemas con respecto a la atmósfera y la gravedad; Estoy seguro de que todo el mundo podría venir a este lugar."""
un_045010_0060#0,"""Por supuesto, si podemos ir sin luchar, entonces ese sería nuestro mejor escenario. HAHAHAHA!"""
un_045010_0070#0,"""Huey, <%me>!, ¡Pido disculpas, pero hay una emergencia!"""
un_045010_0080#0,"""He detectado una gran lectura de Ether, cerca de su ubicación. Les pido a ustedes dos que investiguen de inmediato."""
un_045010_0090#0,"""Esta lectura... ¡Puede ser una creación Phantom similar a un enemigo tipo Dark Falz!, ¡Investigue inmediatamente!"""
un_045010_0100#0,"""Danos un descanso... ¿Es esto lo que ellos llaman, \""Hablando del diablo\""?"""
un_045010_0110#0,"""¡Las lecturas emanan de adelante!"""
un_045010_0120#0,"""¡He llegado!, No sé qué está pasando, pero mientras Huey este aquí, todo estará-"""
un_045010_0130#0,"""...O-hey Xiera. ¿Creí haber escuchado que estaba aquí?"""
un_045010_0140#0,"""Uh, huh? Definitivamente hubo lecturas... Pero están empezando a desaparecer?..."""
un_045010_0150#0,"""Estaba siguiendo una presencia que me pareció poderosa, sin embargo eso era todo lo que pudo rendir."""
un_045010_0160#0,"""Oh, ¿Pero si no es <%me>?."""
un_045010_0170#0,"""Por casualidad, ¿No sería esa su presa?. Te pido disculpas por eliminarla."""
un_045010_0180#0,"""Aunque, no puso mucha resistencia... Y todavía me siento insatisfecha."""
un_045010_0190#0,"""Volver con las manos vacías... No sería bueno para ninguno de los dos, ¿Verdad?."""
un_045010_0200#0,"""¿Oh?"""
un_045010_0210#0,"""Hey, hey, hey... Eres una luchadora, bien!"""
un_045010_0220#0,"""Esa absurda fuerza y reflejos... Ya veo, eres ese \""demonio,\"" del que todo el mundo se está refiriendo en los informes, ¿No?"""
un_045010_0230#0,"""Oh, has detenido mi ataque... Tal dicen que se esperaria de uno del consejo de los Seis."""
un_045010_0240#0,"""No pareces ser del tipo de persona que retrocede."""
un_045010_0250#0,"""Sí, como dije antes. Aún no estoy satisfecha. ¿Te importaría divertirme un poco?"""
skit01#0,"""Prueba"""
skit02#0,"""Temporal"""
