name01#0,"""Dios Fantasma de la Creación"""
name02#0,"""？？？"""
st_048130_0840#0,"""Esto es el fin."""
st_048130_0850#0,"""っ！"""
st_048130_0860#0,"""ヒツギちゃんっ！"""
st_048130_0870#0,"""Imposible... te envié a casa, <%me>. ¿Cómo es que estás aquí...?"""
st_048130_0880#0,"""<%me>さん！"""
st_048130_0890#0,"""<%me>！"""
st_048130_0900#0,"""<%me>……！"""
st_048130_0910#0,"""Esto es...Ame-no-Murakumo...?<br>Debería haber sido destruido, ¿cómo ...?"""
st_048130_0920#0,"""Si es el control de Ether, entonces soy superior a este fantasma Dios de la Creación. Es tan simple como eso."""
st_048130_0930#0,"""Aru?! Pero esa voz es... Mother?"""
st_048130_0940#0,"""Con el permiso de Aru, tomé prestado su cuerpo temporalmente. Dicho esto, Enga Yasaka, Kohri Washinomiya... por favor tomen mis manos."""
st_048130_0950#0,"""グラム！"""
st_048130_0960#0,"""Mi arma encarnada!"""
st_048130_0970#0,"""Aunque esa cosa es Dios, está construida sobre el marco de una encarnación usando Ether de Ardem. No es un dios de verdad."""
st_048130_0980#0,"""Y así, la humanidad, lo acabaran con su propia fuerza. Reúnan su poder, su voluntad! Aru y yo nos aseguraremos que este espacio no sea destruido."""
st_048130_0990#0,"""Sí, lo tengo... Asi que hermana mayor, Haz tu mejor esfuerzo!"""
st_048130_1000#0,"""Como la encarnación de la Tierra, el universo..<br>Están verdaderamente desafiándome, humanos?"""
st_048130_1010#0,"""Tú no deseas nueva creación, ni evolución...<br>Sólo deseas degenerarte... ¿Vas a elegir honestamente<br>una cosa tan tonta?"""
st_048130_1020#0,"""Te equivocas. Caminamos hacia adelante con nuestros propios pies. Hacia el futuro, Hacia el mañana!"""
st_048130_1030#0,"""Podemos tropezar, volver atrás, a veces ir en la dirección equivocada... Pero nos levantamos y seguimos adelante!"""
st_048130_1040#0,"""Hay muchas veces que nos detenemos, muchas veces miramos hacia atrás... Lamentamos los errores que cometemos... y a veces que nunca podemos recuperarlos."""
st_048130_1050#0,"""Pero, esta forma de hacer las cosas es nuestra evolución, nuestro camino hacia el futuro."""
st_048130_1060#0,"""Y seguiremos caminando hacia<br>el mañana... No dejaré que nadie se interponga en nuestro camino."""
st_048130_1070#0,"""¡Incluso si ese alguien es Dios!"""
st_048130_1080#0,"""Tú rechazas el futuro establecido por Dios...<br>Insensato, tonto, demasiado tonto, esto es realmente tonto."""
st_048130_1090#0,"""Perecen, los humanos. Junto con la Tierra."""
st_048130_1100#0,"""Fracaso de mi creación, serás destruido y renaceras de nuevo.<br>Yo los destruiré a todos, y los rehaceré a mi imagen.<br>Este planeta... este universo."""
st_048130_1110#0,"""1. La Tierra no es tu juguete"""
st_048130_1120#0,"""2. No hay necesidad de recrear la Tierra"""
st_048130_1130#0,"""<%me>, ¡Vamos!"""
st_048130_1140#0,"""¡Gracias!"""
