name01#0,"""Anunciador"""
st_042060_0001#0,"""A.D.2028/3/23/13:00"""
st_042060_0010#0,"""Esto es tan rico!, ¡Es delicioso, hermana mayor!"""
st_042060_0020#0,"""¡Bien, bien, lo entiendo!, No hables mientras comes. Tienes comida en la boca. Aquí, deja de moverte para poder limpiarte."""
st_042060_0030#0,"""Hi-Hitsugi!, ¡También tengo comida en mi boca!, ¡Aquí!"""
st_042060_0040#0,"""Sí, claro... Aquí tienes."""
st_042060_0050#0,"""Sabes... de las reservas de comida a hacer pedidos, este mundo está casi llegando a ser demasiado conveniente."""
st_042060_0060#0,"""¿Por qué no consigues uno también? Es muy útil, Hitsugi. Puedes usar esto para muchas cosas además de juegos. No puedo vivir sin él."""
st_042060_0070#0,"""Prefiero estar dentro de mi habitación jugando juegos de PC donde no tengo que lidiar con otras personas alrededor."""
st_042060_0080#0,"""Hemos llegado tan lejos con la tecnología, así que podríamos usarla también. No es como que fuera fácil volver en este punto de todos modos. Quiero decir, ¡Mira!, ¡La tecnología ha llegado tan lejos!"""
st_042060_0090#0,"""Especialmente está aplicación hecha por YMT Corporation! Salió recientemente, pero es muy práctica!"""
st_042060_0100#0,"""La brillante mente detrás de las decisiones de coordinación de comedor y equipo es nada menos que la gran YMT Corporation!"""
st_042060_0110#0,"""Lo que es más, el CEO es un graduado de nuestra misma escuela secundaria!"""
st_042060_0120#0,"""Eso es bastante oscuro, Kohri. ¿Eres su mayor fan o algo así?"""
st_042060_0130#0,"""Hitsugi, Estas demasiado atrasada en estos tiempos! Este tema es totalmente de actualidad ahora mismo!"""
st_042060_0140#0,"""¡¡Mira allí! ¿Lo ves? Al igual que el rumor dijo, el presidente recientemente organizó una entrevista local justo en está misma cuadra"""
st_042060_0150#0,"""Actualmente estamos frente a la sede de la Corporación YMT,<br>donde en pocos minutos recibiremos el privilegio de recorrer<br>este emblemático establecimiento."""
st_042060_0160#0,"""Estamos hoy aquí para una entrevista exclusiva y una gira del galán de<br>nuestra generación y CEO de YMT Corp, el Presidente Hagith Anie!<br>Sr. Anie, gracias por tomar tiempo de su apretada agenda para estar aquí!"""
st_042060_0170#0,"""El placer es mío."""
st_042060_0180#0,"""Como presidente, fue su decisión elegir el nombre \""YMT\"", ¿Correcto?<br>Si me permite preguntar, ¿Qué significa?, ¿Tal vez una abreviatura?"""
st_042060_0190#0,"""Bueno, ¿Qué crees que es la abreviatura?"""
st_042060_0200#0,"""Uh... YMT, ¿Eh? Parece que podría combinar \""año\"" y \""múltiples\"" para algo que dura \""varios años\""!"""
st_042060_0210#0,"""Ni siquiera cerca, amiga mía. La respuesta correcta es Ya Ma To."""
st_042060_0220#0,"""¿¿Ya Ma To??"""
st_042060_0230#0,"""En japonés, \""Yamato\"" Puede referirse al alma.<br>Como ciudadano japonés orgulloso, lo sé bien."""
st_042060_0240#0,"""Por encima de todo, lo llamamos con respecto al famoso acorazado,<br>El acorazado Yamato. Por lo tanto, \""YMT\"" es, una forma<br>atractiva de abreviarlo."""
st_042060_0250#0,"""El acorazado Yamato, ¿Dices? me preguntaba por qué<br>vi un modelo de un acorazado dentro del<br>edificio de la compañía..."""
st_042060_0260#0,"""Loathe tengo que admitir, Que ese modelo no es del mismo Yamato,<br>Sino más bien de su nave hermana; El Musashi. Fue comisionada en 1942,<br>No un año después de su hermana mayor."""
st_042060_0270#0,"""Eh, ¿En serio?"""
st_042060_0280#0,"""Bueno, no te culpo por confundirlos.<br>Para el hombre promedio de hoy, son simplemente<br>dos barcos de la misma clase."""
st_042060_0290#0,"""Ya... Veo."""
st_042060_0300#0,"""Pero mientras que el honor a Musashi vive aquí dentro de la sede de la Corporación,<br>El Yamato está consagrado dentro de mi alma misma. También tengo un santuario<br>bastante decorativo hacia él en casa. ¿Te gustaría verlo alguna vez?"""
st_042060_0310#0,"""M-Me temo que ya tengo planes.<br>Pero gracias por la... Buena oferta."""
st_042060_0320#0,"""¿De verdad? qué lástima."""
st_042060_0330#0,"""Oh, mira, buen señor! Este modelo fue adoptado anteriormente a finales de los<br>años 2000. Tipo 10. Tanta belleza... ¿No estás de acuerdo?"""
st_042060_0340#0,"""En los últimos años, la gente no escucha mucho acerca<br>de los diferentes modelos y tipos. Es una vergüenza, de verdad!"""
st_042060_0350#0,"""Soy muy fan de las armas usadas en la era de la Antigua Guerra, pero eso<br>no quiere decir que no tenga aprecio por las versiones modernas.<br>Ellos no recuerdan una historia tan rica de la evolución del hombre, ¿No es cierto?"""
st_042060_0360#0,"""Mira, mira aquí. Mira con atención el diseño elegante..."""
st_042060_0370#0,"""...Otaku. """
st_042060_0380#0,"""...Definitivamente un otaku."""
st_042060_0390#0,"""¿Qué es un otaku?"""
st_042060_0400#0,"""Alguien como Kohri."""
st_042060_0410#0,"""¡¡Eso es cruuueeelll, Hitsugi!!"""
st_042060_0420#0,"""Aru, un Otaku es una persona que se vuelve<br>un poco demasiado obsesionada."""
st_042060_0430#0,"""Oh. Entonces, ¿De qué está obsesionada Kohri?"""
st_042060_0440#0,"""そ、それは……"""
st_042060_0450#0,"""Entrastes justo en ese."""
st_042060_0460#0,"""Un \""otaku\"", ¿Huh? Oye, <%me>... ¿Hay algo con lo que te consideras obsesionad@?"""
st_042060_0470#0,"""1. Estoy obsesionad@ con las misiones ARKS."""
st_042060_0480#0,"""2. Estoy obsesionad@ contigo, Xiera."""
st_042060_0490#0,"""3. Nada en particular."""
st_042060_0500#0,"""Y no hay ninguna duda!, ¡Eres prácticamente el modelo a seguir de los ARKS!<br>Un grupo de esos principiantes podrían realmente aprender una o dos lecciones de usted.<br>Saltando misiones y reportes descuidados... ¡ tienen agallas!"""
st_042060_0510#0,"""H-hehe, gracias! Sé que son sólo halagos, pero estoy muy feliz!"""
st_042060_0520#0,"""Pero espera, espera, no. No deberías decir eso tan relajadamente, ¿De acuerdo?"""
st_042060_0530#0,"""¿Eh?, ¿Nada?, ¿De Verdad? Quiero decir, no necesita ser una obsesión, en si. ¡Sólo algo que realmente te guste!"""
st_042060_0540#0,"""Sé que eres una de nuestras mejores personas, pero a veces es bueno sentarse y tener algo de tiempo para relajarse, ¿No?"""
st_042060_0550#0,"""En cuanto a mí, estoy obsesionada con ser el administrador de todos! En pocas palabras, un administrador Otaku! Eh?, ¿No es lo mísmo?"""
st_042060_0560#0,"""De todos modos, ¡Es increíble tener muchas cosas que te pueden obsesionar!"""
