st_046070_0001#0,"""A.D.2028/4/21/18:00"""
st_046070_0010#0,"""Espera... Está es mi escuela... ¿Por qué vine aquí?..."""
st_046070_0020#0,"""...No, no es extraño Soy una estudiante de secundaria, después de todo. Soy un estudiante de aquí, después de todo. Es normal que esté aquí."""
st_046070_0030#0,"""Pero por qué... ¿Por qué se siente tan nostálgico... Y por qué me siento tan sola?"""
st_046070_0040#0,"""...Que dices, Hitsugi. Tú también lo crees, ¿Verdad?"""
st_046070_0050#0,"""¿...Huh? Hitsugi?"""
st_046070_0060#0,"""...Oh, está bien. Mother me pidió que viniera aquí."""
st_046070_0070#0,"""Oh, Si eso es cierto Me dijeron que Hitsugi vendria si causaba un desastre aquí...."""
st_046070_0080#0,"""Esta escuela y la vida cotidiana de Hitsugi y yo. Aquí es donde regresaremos a... Estoy segura de que vendrá a protegerlo..."""
st_046070_0090#0,"""Entonces, ¿Lo destruiré?..."""
st_046070_0100#0,"""¿Voy a destruirlo... ¿Por qué... Estoy destruyendo a Hitsugi... A mi dias... A la vida?... ¿Por qué?"""
st_046070_0110#0,"""¿Para traer de regreso a Hitsugi?, ¿Para salvar a Hitsugi? Pero para hacer eso... ¿Voy a destruir el lugar al que volveremos?"""
st_046070_0120#0,"""...¿Por qué? ¡¿Porque porque porque porque?!, ¡No puedes hacer eso, Kohri!, ¡¿Qué estoy diciendo?!"""
st_046070_0130#0,"""Este es... El lugar de los recuerdo de Hitsugi y yo, ¿Tu lo sabes?"""
st_046070_0140#0,"""Estudiar juntas, hacer ejercicio juntas, reír juntas, enojarse juntas, llorar juntas... Aquí es donde estábamos juntas todo el tiempo, ¿No?"""
st_046070_0145#0,"""¡Ah!"""
st_046070_0150#0,"""Hah, hah, hah, hah...<br>...¡No puedes!, ¡No importa qué, no puedes!"""
st_046070_0160#0,"""Este lugar... Está escuela es... ¡Es el lugar donde Hitsugi y yo pertenecemos!... No te dejaré destruirlo, ¡Pase lo que pase!"""
st_046070_0170#0,"""Que-!"""
st_046070_0180#0,"""¡Hitsugi!"""
st_046070_0190#0,"""Hablaremos después, Kohri. ¡Encarguemonos de ellos primero y protejamos nuestra escuela!, ¡¿Lo entiendes?!"""
st_046070_0200#0,"""...Si! Si, si!"""
skit01#0,"""Mi Mejor Amiga"""
skit02#0,"""La Forma de los sentimientos"""
