un_046040_0010#0,"""¡Haa..haa..!"""
un_046040_0015#0,"""¡Hola mi amigo!, ¡Perdón por la conmoción!"""
un_046040_0020#0,"""Pero, amigo mío, ¿Ha visto a Josephine?"""
un_046040_0030#0,"""1. No la he visto."""
un_046040_0040#0,"""2. La vi en Naberius."""
un_046040_0050#0,"""De Verdad...<br>Diablos... Josephine...<br>Dónde fuiste.!..."""
un_046040_0060#0,"""¿Qué, Naberius? Dime lo que viste!"""
un_046040_0070#0,"""Uh-huh, rojo, colores brillantes...."""
un_046040_0075#0,"""¡Viste a un Aginis!, ¡Eso es diferente de Josephine!"""
un_046040_0080#0,"""Josephine ha huido de su casa... Yo estaba trabajando, y en un abrir y cerrar de ojos se había ido!"""
un_046040_0090#0,"""No creo que haya dejado la nave... Oh, me encanta Josephine. Donde exactamente podrías estar!..."""
un_046040_0100#0,"""...No, este es un reto para el amor! Estoy siendo probado por Josephine!, ¡Te encontraré!"""
un_046040_0110#0,"""¡Mi amigo!, ¡Hasta luego!"""
