un_043080_0001#0,"""A.P.2028/x/xx"""
un_043080_0010#0,"""Oh, buen momento! <%me>, ¿Le gustaría revisar la historia de ARKS?"""
un_043080_0020#0,"""Hitsugi y Aru parecían interesados, así que estaba a punto de revelarles diferentes información."""
un_043080_0030#0,"""Eh... Interesante no es la palabra para ello. Desde el principio, he estado recopilando estos registros encubiertamente."""
un_043080_0040#0,"""Con ello se revela abiertamente como este, entonces se siente como si todos mis esfuerzos fueron a perder."""
un_043080_0050#0,"""Aunque hubo un tiempo en que la ARKS había ocultado su historia pasada, nuestro nuevo sistema nos permite ser completamente abierto en varios casos."""
un_043080_0060#0,"""Tenga la seguridad, no he hecho nada en particular para esconder cosas de usted."""
un_043080_0070#0,"""Hey Xiera, acerca de está persona llamada Xion..."""
un_043080_0080#0,"""Oh Aru, usted tiene grandes ojos, teniendo un interés en los expedientes de Xion."""
un_043080_0090#0,"""¿Quién era está persona llamada Xion?"""
un_043080_0100#0,"""Hmm... Esto podría sonar un poco complicado, pero Xion fue como la observadora de este universo. En esencia, era una biblioteca que contenía la historia de este universo."""
un_043080_0110#0,"""Conocían la historia del universo desde el principio. En otras palabras, los Registros Akashic."""
un_043080_0120#0,"""\""Registros Akashic\""? Entonces, ¿Lo sabía todo?"""
un_043080_0130#0,"""Ella lo sabía todo. Sin embargo, ella sólo-lo sabía-todo."""
un_043080_0140#0,"""Era incompetente en la lectura de las emociones de la gente. Es por eso que ella deseaba interactuar con la gente, con los Photoners..."""
un_043080_0150#0,"""……フォトナー。"""
un_043080_0160#0,"""Xion les enseñó las maneras de manipular los photons, y la tecnología de los Photoners avanzó explosivamente."""
un_043080_0170#0,"""Habían evolucionado mucho y construido muchas cosas innecesarias, y eventualmente se convirtió en la fuente de Darkers, 【Profound Darkness】."""
un_043080_0180#0,"""Antes del nacimiento de 【Profound Darkness】, los Photoners estaban haciendo otras cosas diferentes, ¿No? Aprovechando las actividades de Xion, y otras cosas..."""
un_043080_0190#0,"""Así es, me sorprende que lo supieras. Como resultado, esas \""varias cosas\"" terminaron creando a 【Profound Darkness】."""
un_043080_0200#0,"""Los Photoners intentaron crear una copia de Xion, fallando numerosas veces durante ese proceso. Al final, su mayor fracaso dio origen de 【Profound Darkness】."""
un_043080_0210#0,"""Así que básicamente, Xion era una persona increíble, los Photoners eran los malos... Y hoy, ninguno de ellos está aquí?"""
un_043080_0220#0,"""Si dejas el propósito de adelantamiento aparte, en cierto sentido, no hay defectos con tu comprensión."""
un_043080_0230#0,"""Dicho esto, soy descendiente de esa persona increíble! El hijo de Xiao. En cierto sentido, soy nieta de Xion."""
un_043080_0240#0,"""¿Una nieta de una persona increíble?... Entonces, quizás Xiera es una persona increíble?"""
un_043080_0250#0,"""Hehe!, No es un tal vez, yo soy increíble!, ¡Me puedes admirar más!"""
un_043080_0260#0,"""…………"""
un_043080_0270#0,"""1. ¿Tienes algo en mente?"""
un_043080_0280#0,"""2. ¿Tienes más dudas?"""
un_043080_0290#0,"""Ah, no... Es sólo que... Umm... Tipo de."""
un_043080_0300#0,"""Umm... Realmente no. No tengo ninguna duda sobre ARKS pero..."""
un_043080_0310#0,"""Entre las cosas que la Mother me había pedido que recolectara, había algo acerca de reunir datos sobre los Photoners. Me pregunto de qué se trataba."""
un_043080_0320#0,"""Ya veo. En lugar de mirar la historia de ARKS, parece que están buscando el origen de ARKS. Tal vez, ¿Una razón diferente para un propósito no relacionado?"""
un_043080_0330#0,"""Incluso ahora, todavía no puedo entender que fuera..."""
