ra_043100_0010#0,"""Hablando de eso, no te he explicado cómo nuestra nave ARKS fue transportada a la Tierra, ¿Verdad?"""
ra_043100_0020#0,"""Desde el principio, Hitsugi, mientras realizábamos nuestras investigaciones, nuestras conexiones con usted originalmente nos hicieron solicitudes de archivo para volver a estacionar cerca de la Tierra."""
ra_043100_0030#0,"""Después de todo, hay cosas que no se pueden aprender con solo el análisis de la inteligencia que se trae de vuelta."""
ra_043100_0040#0,"""Al aprender sobre las amenazas de Phantoms de los datos reunidos, que sucedierón, durante nuestra preparación."""
ra_043100_0050#0,"""Código de error: Olympia, ¿Verdad? Obligado a Hitsugi y Aru a regresar."""
ra_043100_0060#0,"""No solo están interfiriendo con nuestra reunión de datos, había rastros de ellos tratando de robarme información en ese breve momento"""
ra_043100_0070#0,"""Eso estaba más allá del nivel de suplantación de avatares. Forzó una intervención contra Oracle desde la Tierra."""
ra_043100_0080#0,"""A partir de esto, se confirmó que algo había reconocido a ARKS como un enemigo. Por lo tanto enviamos toda la nave ARKS aquí."""
ra_043100_0090#0,"""Si llegamos a este universo, incluso con problemas de interferencia, aún podemos bajar a la Tierra."""
ra_043100_0095#0,"""Hemos ocultado completamente la nave ARKS: de esa forma no tenemos que preocuparnos por ser detectados."""
ra_043100_0100#0,"""Permaneceremos en este universo por un tiempo para continuar nuestras investigaciones. Estaremos a su cuidado."""
ra_043100_0001#0,"""A.P.241/4/2"""
