ra_043010_0001#0,"""A.P.241/4/2"""
ra_043010_0010#0,"""La investigacion de los arks a la tierra es una operacion a pequeña escala, sorprendentemente lleva operativa ya por 12 años."""
ra_043010_0020#0,"""Aun mas sorprendente, hace dos años, se ha podido encontrar gente como Histugi, quienes tienen la habilidad de teletransportarse directamente aqui desde la tierra."""
ra_043010_0030#0,"""Hace 12 años... Eso fue en 2016, cuando la tecnologia conocida como ether fue establecida, y la corporacion ESC-A globalizo todo el mundo."""
ra_043010_0040#0,"""Hace 2 años... hace dos años? no recuerdo que haya sucedido algo importante en la tierra durante ese tiempo..."""
ra_043010_0050#0,"""Eso podria ser en parte culpa de un suceso que ocurrio en nuestro mundo, mas que en la tierra. hace dos años, nuestro universo estuvo en peligro."""
ra_043010_0060#0,""" El incidente de hace dos años. <%me>, puedes recordarlo?"""
ra_043010_0070#0,"""1. Hablas de Matoi?"""
ra_043010_0080#0,"""2. Hablas de [Profound Darkness]?"""
ra_043010_0090#0,"""Aun que en parte es cierto, me referia a [Profound Darkness] como el principal problema."""
ra_043010_0100#0,"""Si,  correcto. muchos cambios ocurrieron debido a eso, [Profound Darkness] fue el principal causante."""
ra_043010_0110#0,"""Por lo que concluimos alguien en la tierra debio darse cuenta de la resurreccion de [Profound Darkness]."""
ra_043010_0120#0,"""Aun que no sabemos como estos dos pueden estar relacionados, estamos empezando a hacer conexiones con la informacion que tenemos."""
ra_043010_0130#0,"""Dicho todo esto, solo podemos hacer suposiciones. Lamento no poder darles mas informacion que esta..."""
ra_043010_0140#0,"""No hay problema, las suposiciones nos deben bastar. Parece ser que ESC-A esta relacionado con todo esto...."""
