name01#0,"""近衛兵"""
name02#0,"""？？？"""
st_048010_0001#0,"""A.D.2028/4/24/10:00"""
st_048010_0010#0,"""Que desafortunado. Esperaba que Enga y los demás comprendieran lo que estaba diciendo."""
st_048010_0020#0,"""Su idea es un enfoque en el futuro de la Tierra. Debe ser difícil para esos tontos entender."""
st_048010_0030#0,"""¿Ophiel? No toleraré insultos hacia Enga o los ARKS."""
st_048010_0040#0,"""Sin su cooperación, no podríamos haber llegado tan lejos. Deberias de ser mas agradecido."""
st_048010_0050#0,"""No debería haber dicho eso. Por favor perdoneme."""
st_048010_0060#0,"""Mientras lo entiendas."""
st_048010_0070#0,"""¡Sir Ardem! ¡Hay Una investigación por parte de los ARKS sobre las acciones del Sir Ardem!"""
st_048010_0080#0,"""Alegando que no aceptarían un no como respuesta, Nos dieron un tiempo difícil. Sir Ardem, ¿qué es lo que...?"""
st_048010_0090#0,"""No hay necesidad de una respuesta. El silencio comunicará mi voluntad."""
st_048010_0100#0,"""En todo caso, ¿cuánto tiempo ha pasado desde que te unistes a la Earth Guide?"""
st_048010_0110#0,"""han pasado 10 años que Sir Ardem me trajo aquí. Y he sido guardia durante 3 años y 4 meses."""
st_048010_0120#0,"""Ah, 10 años. Simplemente un momento comparado con la vida de una estrella."""
st_048010_0130#0,"""Pero para la gente, eso es mucho tiempo. ... Gracias por servirme tan bien."""
st_048010_0140#0,"""¡Y-Yo... no soy digno de tales amables palabras! Debido a la guía de Sir Ardem, pudimos aprender nuevas fortalezas, una nueva razón."""
st_048010_0150#0,"""¡Este cuerpo, esta fuerza, es para ti!"""
st_048010_0160#0,"""¿Para mi? Estás equivocado. Tu fuerza y mi fuerza son todas para la Tierra. Existen para la evolución de la Tierra."""
st_048010_0170#0,"""Para ¿La evolución de la Tierra?"""
st_048010_0180#0,"""Sí... La gente de la Tierra debe cambiar. Para dar nacimiento a nuevas ideas y resucitar la creación de este mundo, Y traer el paraíso de vuelta."""
st_048010_0190#0,"""La humanidad debe evolucionar para adaptarse a ese mundo..."""
st_048010_0200#0,"""Para alguien tan imperfecto como yo, me has servido bien. Juntos, evolucionemos hacia la perfección."""
st_048010_0210#0,"""¿Qué... Ugh, ghooooo !? Siiiiir Aaaardem ?!"""
st_048010_0220#0,"""Parece que el recipiente no podía manejarlo. La evolución es bastante difícil."""
st_048010_0230#0,"""¿Qué hiciste?"""
st_048010_0240#0,"""Mediante el envío de Ether, Traté de personificar la imagen de la evolución adaptándose a su cuerpo. Usando el poder de Mother, por supuesto."""
st_048010_0250#0,"""Dado que el camino evolutivo debe ser exacto, no hay otra opción que ajustar el número de sujetos de prueba y ensayos."""
st_048010_0260#0,"""¿La evolución forzada del cuerpo físico ...? Sir Ardem, si forzamos una evolución como esa, causará problemas y el recipiente no durará."""
st_048010_0270#0,"""Ophiel, hay veces en que los recipientes sobrevivirán. Lo sé, porque lo he visto una y otra vez."""
st_048010_0280#0,"""Para que la evolución tenga lugar, a veces hay que hacer sacrificios. Esto es cierto para todas las cosas."""
st_048010_0290#0,"""Ahora, sigamos nuestro camino, Ophiel. Para el renacimiento de este planeta."""
