st_044110_0001#0,"""A.D.2028/4/15/13:00"""
st_044110_0010#0,"""¡No puede ser!... Hitsugi... ¡Hitsugi!"""
st_044110_0020#0,"""¡<%me>! Enga!, ¡Ésto es una emergencia! Hitsugi esta... Hitsugi esta!..."""
st_044110_0030#0,"""Hermana mayor..."""
st_044110_0040#0,"""¡Apúrate y ayuda a Hitsugi!, ¡Si esto continúa, Hitsugi morirá!"""
st_044110_0050#0,"""Hermana mayor está llorando..."""
st_044110_0060#0,"""¿...Qué?"""
st_044110_0070#0,"""Solo aguanta, hermana mayor. Vengo a rescatarte."""
st_044110_0080#0,"""Aru, Que estas-?!"""
st_044110_0090#0,"""¡Kyaa!"""
st_044110_0100#0,"""¿Aru?..."""
st_044110_0110#0,"""¿Aru?, ¿Por qué estás aquí, Aru?"""
st_044110_0120#0,"""Hermana mayor..."""
st_044110_0130#0,"""…………"""
st_044110_0140#0,"""Por favor no llores, hermana mayor. Por favor no estés triste, hermana mayor."""
st_044110_0150#0,"""Fue gracias a mi hermana mayor y <%me> que me salvaron de la oscuridad."""
st_044110_0160#0,"""¡Y está vez, ayudaré a mi hermana mayor!, ¡No te dejaré morir!"""
st_044110_0170#0,"""Kyaa!, ¡¿Qué es esto?!"""
st_044110_0180#0,"""Esta fuerza... Estos photons... Como sospechaba desde el principio, tenía razón."""
st_044110_0190#0,"""He estado esperando que te despiertes. ¡He estado esperando con impaciencia tu fuerza!"""
st_044110_0200#0,"""Hitsugi! Diablos, ¿Qué está pasando? ¡Hola, Xiera! ¿Qué pasa con Hitsugi?"""
st_044110_0210#0,"""¿Cómo... Cómo es esto?..."""
st_044110_0220#0,"""Los signos vitales de Hitsugi se están estabilizando! Las heridas están... ¡Completamente curadas!"""
st_044110_0230#0,"""¡¿Qué?!"""
st_044110_0240#0,"""No puedo creerlo, esto es... ¿Restauración? Los photons de Aru están siendo transferidos, y las heridas de Hitsugi se están regenerando?..."""
st_044110_0250#0,"""¡Aguanto, Ophiel!, ¡Al 100% no he sido informada de nada como esto!"""
st_044110_0260#0,"""Tenga la seguridad, Och. No tengo idea de lo que es esto tampoco. Pero con esto... Ahora entiendo por qué nos enviaron aquí."""
st_044110_0270#0,"""Hermana mayor... Está bien ahora. No hay necesidad de llorar."""
st_044110_0280#0,"""Nuestro objetivo es capturar el objetivo. Vamos, Och."""
st_044110_0290#0,"""Tch, ¡Van por Aru!, ¡Como si te dejara!"""
st_044110_0300#0,"""Eres mío. Técnica de aislamiento, comenzando. Preparándose para separar el objetivo de este lugar."""
st_044110_0310#0,"""¡Rompieron el campo!... En ese caso..."""
st_044110_0320#0,"""¡¿Qué?!"""
st_044110_0330#0,"""¡Hitsugi!"""
st_044110_0340#0,"""No es el resultado más ideal. Sin embargo, he logrado nuestro objetivo secundario. Eso es todo lo que podemos hacer por ahora, al parecer."""
st_044110_0350#0,"""¡Sosténlo justo ahí!"""
st_044110_0360#0,"""Las lecturas enemigas han desaparecido... La lectura de Hitsugi... También ha desaparecido."""
st_044110_0370#0,"""Maldita sea... ¡Maldita sea! Hitsugi! Hitsugiii!"""
st_044110_0380#0,"""Hermana mayor... Todo va a estar bien, hermana mayor. Porque estoy aquí a tu lado..."""
