st_044020_0001#0,"""A.P.241/4/10/10:00"""
st_044020_0010#0,"""Oh, tiempo perfecto. Perdón por molestarte <%me>, pero ¿Podrias venir conmigo como representante de ARKS?"""
st_044020_0020#0,"""Nuestro líder quiere conocerte. Nos dijeron que llamarían una vez que organizaran una sala de conferencias."""
st_044020_0030#0,"""¿Conocerce en persona?, ¿No sería mejor por transmisión?"""
st_044020_0040#0,"""Hay cosas que no se pueden decir en transmisiones. Como las partes intuitivas."""
st_044020_0050#0,"""Es más fácil tener conversaciones importantes cuando las conoces en persona."""
st_044020_0060#0,"""Ya veo... ¿A dónde vas?"""
st_044020_0070#0,"""Estoy diciendo esto ahora... Te vas a quedar aquí."""
st_044020_0080#0,"""¡Eh!, ¡¿Por qué?!"""
st_044020_0090#0,"""Después de todo, sigues siendo parte de Mother Cluster."""
st_044020_0100#0,"""¡Los dejé ya!"""
st_044020_0110#0,"""Esa es otra razón para no llevarte, ya que ya no estás relacionado con esto."""
st_044020_0120#0,"""¡Deja de jugar con tus palabras! todavía estoy involucrada en esto, por eso es que estoy siendo blanco de Mother Cluster!"""
st_044020_0130#0,"""El que está en la mira es Aru. Por otra parte, eres irrelevante. Además, es más seguro esconderse aquí si eres el objetivo. Dime, ¿Mi explicación fue incorrecta?"""
st_044020_0140#0,"""Aun así... ¡Puedo luchar también!"""
st_044020_0150#0,"""No estoy hablando de lo que puedes o no puedes hacer. Lo que estoy diciendo es que dejes de reflexionar y de involucrarte con intenciones a medias."""
st_044020_0160#0,"""A medias... ¿De qué estás hablando?!"""
st_044020_0170#0,"""Te lo preguntaré entonces, Hitsugi. ¿Cuál es tu intención?"""
st_044020_0180#0,"""¿Por qué estás luchando?, ¿Para qué estás usando tus poderes?"""
st_044020_0190#0,"""Lo que estoy... Eso no es lo que quise decir."""
st_044020_0200#0,"""Sólo quería saber qué está pasando, y..."""
st_044020_0210#0,"""¿Qué pasara cuando lo sepas?, ¿Qué piensas hacer después de saberlo? Teóricamente, no has decidido nada."""
st_044020_0220#0,"""No estás haciendo esto porque quieras hacerlo. Estás siguiendo a la multitud a medida que van."""
st_044020_0230#0,"""¡Eso no es cierto! Vine aquí bajo mis propias decisiones... Con todos los demás!"""
st_044020_0240#0,"""Ya te he dicho, todo el mundo es irrelevante. Simplemente no entiendes, ¿Verdad?"""
st_044020_0250#0,"""Si sigues siguiendo a todos sin hacer tus propias elecciones, no es diferente de seguir las palabras de Mother."""
st_044020_0260#0,"""¡Te lo preguntaré entonces! ¿Por qué eres parte de la Earth Guide?, ¿Por qué estás luchando?"""
st_044020_0270#0,"""...No estoy relacionado con está charla."""
st_044020_0280#0,"""¡No lo estas!, ¡Debes tener una razón por la que sigues intimidando a la gente como un interrogador! Ahora, explícate!"""
st_044020_0290#0,"""¡¡¡DETENGANSE!!!"""
st_044020_0300#0,"""Ustedes dos no pueden seguir así!, ¡No pueden seguir luchando así!"""
st_044020_0310#0,"""¡No puedes decir cosas en las que no creen!, ¡No pueden hacer cosas por las que solo terminen lastimándose!"""
st_044020_0320#0,"""……アル。"""
st_044020_0330#0,"""¿Por qué estan peleando cuando ambos están pensando en lo mismo?"""
st_044020_0340#0,"""Todos, llevemonos bien juntos... Si no lo hacen... Estaré triste..."""
st_044020_0350#0,"""...Mi error. Me adelanté."""
st_044020_0360#0,"""Yo también... Lo siento."""
st_044020_0370#0,"""Ah, umm... Lo que Hitsugi dijo antes... ¿Por qué peleas, Enga?"""
st_044020_0380#0,"""Tengo algo que quiero proteger... Es es algo que no puedo permitirme perder."""
st_044020_0390#0,"""Entré a la Earth Guide por esa razón... Es por eso que gané mi poder."""
st_044020_0400#0,"""Algo que deseas proteger..."""
st_044020_0410#0,"""Hitsugi. ¿Estás dispuesta a arriesgar tu vida para proteger a Aru, por protegerlos a todos?"""
st_044020_0420#0,"""No vayas con tus emociones. No son sólo las palabras, piensa muy bien sobre ello."""
st_044020_0430#0,"""Lo siento... Voy a enfriar un poco la cabeza."""
st_044020_0440#0,"""Esté allí para esa idiota, ¿De acuerdo? Cuento contigo."""
st_044020_0450#0,"""1. ¿No fuistes un poco lejos?"""
st_044020_0460#0,"""2. Siempre estás cuidando de ella, ¿No?"""
st_044020_0470#0,"""Lo se... Sé que dije demasiado."""
st_044020_0480#0,"""Podrías decir eso, supongo. ¿Cómo no podría enfadarme después de verla así?"""
st_044020_0490#0,"""Sólo digo Enga... Creo que la habilidad de Hitsugi está por las nubes."""
st_044020_0500#0,"""Bueno, eso no es ninguna sorpresa. Ella es mi hermana pequeña, después de todo."""
st_044020_0510#0,"""En donde tengo problemas, es con sus intenciones."""
st_044020_0520#0,"""Dijo que queria saber que estaba pasando, ¿Verdad? Está planeando cambiar su posición dependiendo de la situación. Todavía está perdida de en que lado estará."""
st_044020_0530#0,"""Si tuviera que decirlo de manera mas cruel... Ella sigue evaluando sus opciónes. Inconscientemente actuando sobre la base de sus ganancias y pérdidas."""
st_044020_0540#0,"""Bueno... No se puede evitar. Después de la pérdida de nuestros padres, su estilo de vida dependía de su utilidad para los demás."""
st_044020_0550#0,"""Las armas encarnadas nacen de la voluntad de su amo. La fuerza de su voluntad se convierte en su poder."""
st_044020_0560#0,"""Al igual que Hitsugi, cuya voluntad sigue<br>vagando, sin tomar forma... Es peligroso."""
st_044020_0570#0,"""He visto a muchos que entraron en peleas sin voluntad, y perdieron. Los has visto tú también,<br>¿Verdad?"""
st_044020_0580#0,"""Enga... Estás sólo un año adelante que Hitsugi en edad, ¿Verdad?, ¿Cómo lo pongo... Realmente pareces un adulto."""
st_044020_0590#0,"""Después de tener una hermana más joven así, no tengo otra opción mas que convertirme en uno."""
st_044020_0600#0,"""Aunque, no puedo aceptar la falta de honestidad que tienes hacia tus sentimientos. Debiste haberle dicho que no querías que ella estuviera involucrada en el conflicto."""
st_044020_0610#0,"""Sólo déjame en paz."""
