un_043040_0001#0,"""A.D.2028/3:25"""
un_043040_0005#0,"""Hola, hola! Ha pasado un tiempo desde que nos conocimos. Es Lisa, ¿Recuerdas?"""
un_043040_0010#0,"""Reunirse aquí es extraño. ¿Estás aquí para dispararles también?"""
un_043040_0020#0,"""¿No es extraño que Lisa esté aquí? No sólo Lisa, los demás ARKS están aquí también."""
un_043040_0030#0,"""Por supuesto, sólo cuando hemos recibido permiso para luchar aquí como ARKS."""
un_043040_0040#0,"""Los Phantoms, era? Aparecen aquí, son divertidos para disparar."""
un_043040_0050#0,"""Se siente como disparar a un Darker. No son un organismo, sino algo que intenta adoptar una forma física."""
un_043040_0060#0,"""Sin embargo, ese punto medio donde están tratando de tomar forma sólo se siente tan fresco... No puedo obtener suficiente de eso."""
un_043040_0070#0,"""Lisa le envidia por ser capaz de venir aquí siempre que lo desee. Lisa quiere ser Guardiana también."""
un_043040_0080#0,"""Sin embargo, disparar y matar algo bajo restricciones, es mucho más satisfactorio. No me importa en absoluto. Fuhuhu."""
un_043040_0090#0,"""Bueno, entonces, adiós."""
