un_064100_0010#0,"""어머, 어머.<br><%me> 씨.<br>안녕하세요오."""
un_064100_0020#0,"""하리엣은<br>오메가에 남았어요오.<br>지금 리사 안에는 리사만 있네요오."""
un_064100_0030#0,"""하리엣과 이야기하고 싶어도<br>리사는 아무것도 할 수 없어요오."""
un_064100_0040#0,"""괜찮아？"""
un_064100_0050#0,"""외로워？"""
un_064100_0060#0,"""리사의 불안정한 영혼 말인가요오？<br>하리엣이 없어도<br>리사는 그대로 리사예요오."""
un_064100_0070#0,"""외롭냐고요오？<br>잘 모르겠네요오."""
un_064100_0080#0,"""리사의 영혼이 불안정하다고 말했지만<br>하리엣이 없어도<br>무슨 일이 생기는 건 아니에요오."""
un_064100_0090#0,"""그래도 창세기는 남겨 줬어요.<br>성능이 조금 떨어지긴 했지만<br>예전처럼 싸울 수 있어요오."""
un_064100_0100#0,"""하리엣과 다시 만날 테니까요오.<br>적님을 쏘고, 쏘고, 쏘고<br>마구 쏠 거예요오."""
un_064100_0110#0,"""후훗, 후후후훗……"""
linewindow001#0,"""리사(EP6)를 파트너로 부를 수 있게 되었습니다."""
