ar_ca0100#0,"""Начальный урок 『Путь ARKS』"""
ar_ca0101#0,"""Начальный урок 『Basic Combat』"""
ar_ca0102#0,"""Начальный урок 『Mag/Forest』"""
ar_ca0114#0,"""Начальный урок 『Locked Quests』"""
ar_ca0115#0,"""Начальный урок 『Story Board』"""
ar_ca0103#0,"""Очередной урок 『ARKS Basics』"""
ar_ca0104#0,"""Очередной урок 『ARKS Ship』"""
ar_ca0113#0,"""Очередной урок 『Crafting』"""
ar_ca0105#0,"""Очередной урок 『Volcano/Desert』"""
ar_ca0106#0,"""Очередной урок 『Weapon Boost』"""
ar_ca0107#0,"""Очередной урок 『Support Partner』"""
ar_ca0108#0,"""Очередной урок 『Extra Classes』"""
ar_ca0109#0,"""Старший урок 『Difficulty/Level』"""
ar_ca0110#0,"""Старший урок 『Time Attacks』"""
ar_ca0111#0,"""Старший урок 『Advance Quest』"""
ar_ca0112#0,"""Старший урок 『Extreme Quest』"""
ar_ca0180#0,"""Доп. урок 『Карта событий ①』"""
ar_ca0181#0,"""Доп. урок 『Карта событий ②』"""
ar_ca0182#0,"""Доп. урок 『Карта событий ③』"""
