ssn_011110_0001#0,"""¿Te gusta recolectar?"""
ssn_011110_0002#0,"""Fuera de la ciudad puedes encontrar un montón de cosas útiles<br>como verduras, frutas, minerales o Animales silvestres."""
ssn_011110_0003#0,"""Este tipo de materiales e ingredientes se pueden utilizar<br>para muchas cosas, así que mejor guarda todo lo que encuentres."""
ssn_011110_0004#0,"""¡Eso es todo por mi parte! ¡Feliz recoleccion!"""
ssn_011110_0101#0,"""¿Cómo va todo? ¿Sigues ocupado con la recoleccion?"""
ssn_011110_0102#0,"""Personalmente, soy un gran fan de los minerales. Siempre que tengo tiempo, viajo a muchos lugares para buscarlos."""
ssn_011110_0103#0,"""Definitivamente conozco mi parte justa de minerales, así que si<br>alguna vez necesitas información, ¡pregúntame cuando quieras!"""
ssn_011110_0201#0,"""Los monotites son minerales que están cubiertos de un brillo rojo."""
ssn_011110_0202#0,"""El mero hecho de mirarlas ya es divertido, pero su verdadero uso<br>es para forjar equipos en el Laboratorio de Objetos."""
ssn_011110_0203#0,"""El tipo de piedras que necesitas depende del equipo,<br>así que es mejor que consultes el menú del laboratorio de objetos para obtener más detalles."""
ssn_011110_0204#0,"""Los monotites se pueden encontrar en la zona rocosa de Aelio Central.<br>¿Por qué no vas a mirar por ahí a ver si puedes conseguir algunas?"""
ssn_011110_0301#0,"""Oh, ya veo...<br>Bueno, es una pena."""
ssn_011110_0302#0,"""Pásate cuando quieras si quieres<br>saber más sobre los minerales."""
