ssn_012220_0001#0,"""¿Has disfrutado de la recolección?"""
ssn_012220_0002#0,"""En las afueras de la ciudad, hay una gran cantidad de verduras, frutas, minerales y carne de Tames que se pueden cosechar"""
ssn_012220_0003#0,"""Esos ingredientes frescos y materiales resistentes seguro que te benefician en tus próximas batallas."""
ssn_012220_0101#0,"""Yo, ¿cómo va todo?"""
ssn_012220_0102#0,"""Ahora que has conseguido algunas armas nuevas y las has mejorado un poco, te habrás dado cuenta de que necesitarán algunos tipos nuevos de Mineral."""
ssn_012220_0103#0,"""¿Quieres aprender más sobre esos Minerales?"""
ssn_012220_0201#0,"""La dualomita es un mineral púrpura con una formación irregular. Es un mineral de color similar al de los trozos de fotón, pero con propiedades diferentes."""
ssn_012220_0202#0,"""Ambas son gemas preciosas, pero también se pueden utilizar en el Laboratorio de Objetos como catalizadores para reforzar tu equipo."""
ssn_012220_0203#0,"""Se pueden encontrar muchas en las paredes de las cavernas del sur de Aerio. Te vendría bien ir a buscar algunos"""
ssn_012220_0301#0,"""Mm, ya veo... Eso es desafortunado."""
ssn_012220_0302#0,"""Bueno, cuando quieras aprender sobre Ores, sólo dímelo"""

