ssn_013200_0001#0,"""¿Has disfrutado de la recolección?"""
ssn_013200_0002#0,"""En las afueras de la ciudad, hay una gran cantidad de verduras, frutas, minerales y carne de Tames que se pueden cosechar"""
ssn_013200_0003#0,"""Esos ingredientes frescos y materiales fuertes seguro que te benefician en tus batallas venideras."""
ssn_013200_0101#0,"""Ahí tienes"""
ssn_013200_0102#0,"""¿Quieres saber más sobre los minerales?"""
ssn_013200_0201#0,"""El cuarzo fotónico es un mineral acuático irregular que sobresale de ciertas rocas. La trinita es un mineral con hermosas rayas concéntricas."""
ssn_013200_0202#0,"""Estas piedras también pueden usarse para fortalecer las armas."""
ssn_013200_0203#0,"""...Aunque personalmente, creo que podrían convertirse en unos encantadores objetos de conversación..."""
ssn_013200_0204#0,"""También debo mencionar que el Cuarzo Fotónico es especialmente necesario en la fabricación de Armas Múltiples."""
ssn_013200_0205#0,"""El lugar donde puedes encontrarlos es en el norte de Aerio. Así que ve a buscarlos. ...Ya sabes lo que hay que hacer. Hah-hah-hah!"""
ssn_013200_0301#0,"""Mm, ya veo... Eso es desafortunado."""
ssn_013200_0302#0,"""Bueno, cuando quieras aprender sobre Ores, dímelo"""
