ssn_014210_0001#0,"""¿Has disfrutado de la recolección?"""
ssn_014210_0002#0,"""En las afueras de la ciudad, hay una gran cantidad de verduras, frutas, minerales y carne de Tames que se pueden cosechar"""
ssn_014210_0003#0,"""Esos ingredientes frescos y materiales resistentes seguro que te benefician en tus próximas batallas."""
ssn_014210_0004#0,"""¡Cuídate!"""
ssn_014210_0005#0,"""ちなみに、ワールドマップを見れば、<br>鉱石などの入手場所が確認できる。覚えておいてくれ。"""
ssn_014210_0101#0,"""Hasta ahora, has ido al centro, norte y sur de Aerio para encontrar minerales."""
ssn_014210_0102#0,"""Por último, vamos a enseñarte los minerales del oeste de Aerio."""
ssn_014210_0201#0,"""En Aerio Occidental, se puede reunir tanto Dualomita como Trinita"""
ssn_014210_0202#0,"""Ya hemos hablado de estos dos minerales antes, así que deberías ser capaz de recordar qué buscar, ¿vale?"""
ssn_014210_0203#0,"""Lo mismo de siempre. Sal y trata de encontrar alguna cantera. ¡Hah-hah-hah!"""
ssn_014210_0301#0,"""Mm, ya veo... Eso es desafortunado."""
ssn_014210_0302#0,"""Bueno, cuando quieras aprender sobre Ores, sólo dímelo"""
