name_7717#0,"""Beverly"""
ssn_014630_0001#0,"""โย่ๆ! มีเรื่องอยากจะคุยด้วยหน่อย"""
ssn_014630_0002#0,"""พอจะมีเวลาสักแป๊บไหม?"""
ssn_014630_0201#0,"""ระดับนี้ต้องเคลียร์ Trinitas ได้ชัวร์ๆ"""
ssn_014630_0202#0,"""ฉันจะคอยเชียร์อยู่ตลอดเลย! ไปโชว์สเต็ปเทพๆ ให้พวกเราดูหน่อย!"""
ssn_014630_0203#0,"""อ้อ งั้นเหรอ...? งั้นบอกแล้วกันนะถ้าเปลี่ยนใจ"""
ssn_014630_0301#0,"""โห ทำได้จริงๆ ด้วย! บ้าไปแล้ว นับถือใจเลย"""
ssn_014630_0302#0,"""เอาล่ะ! ฉันเองก็ต้องเอาจริงบ้างแล้ว จะปล่อยให้ทิ้งห่างไปไกลไม่ได้หรอกนะ"""
ssn_014630_0401#0,"""...อะไรวะเนี่ย? เคลียร์ไปแล้วเหรอ? ปัดโธ่ คราวหน้าก็หัดบอกกันก่อนบ้างสิ"""
ssn_014630_0402#0,"""แต่สุดยอดไปเลยว่ะ นับถือใจเลย"""
ssn_014630_0403#0,"""เอาล่ะ! ฉันเองก็ต้องเอาจริงบ้างแล้ว จะปล่อยให้ทิ้งห่างไปไกลไม่ได้หรอกนะ"""
ssn_014630_0501#0,"""สุดยอดไปเลยว่ะ นับถือใจเลย"""
ssn_014630_0502#0,"""เอาล่ะ! ฉันเองก็ต้องเอาจริงบ้างแล้ว จะปล่อยให้ทิ้งห่างไปไกลไม่ได้หรอกนะ"""
