name_7717#0,"""Beverly"""
ssn_014620_0001#0,"""เพื่อนฉันชอบปีนขึ้นไปบนยอดของเมืองตลอดเลย เขาบอกว่าวิวตรงนั้นสุดยอดมาก"""
ssn_014620_0002#0,"""ฉันคิดว่าน่าจะขึ้นไปทางใกล้ๆ ทางเข้า หรือไม่ก็ทางด้านหลัง แต่ฉันไม่คิดจะลองทำแบบนั้นหรอกนะ"""
ssn_014620_0003#0,"""ทำไมล่ะ...? โธ่เอ๊ย ก็มันน่ากลัวจะตายชัก!"""
ssn_014620_0101#0,"""นี่ รู้จักอาคารใหญ่ๆ ทางตะวันออกเฉียงเหนือมั้ย? อาคารยักษ์ที่มียอดแหลมๆ น่ะ"""
ssn_014620_0102#0,"""รู้หรือเปล่าว่ามันคืออะไร?"""
ssn_014620_0103#0,"""มันเรียกว่า 'Trinitas' และเป็น Trainia ชนิดพิเศษน่ะ"""
ssn_014620_0104#0,"""ทำไมไม่ลองดูล่ะ? แต่ว่าอย่าเข้าไปถ้ากะจะทำแบบขอไปทีล่ะ"""
ssn_014620_0201#0,"""หืม? จะให้ฉันไปด้วยเหรอ?"""
ssn_014620_0202#0,"""ไม่ล่ะ ฉันขอผ่านดีกว่า"""
ssn_014620_0203#0,"""ทำไมล่ะ...? โธ่เอ๊ย ก็มันน่ากลัวจะตายชัก!"""
ssn_014620_0301#0,"""อะไรเนี่ย ป๊อดเหรอ? ก็ได้ ไว้คราวหน้าแล้วกัน"""
ssn_014620_0401#0,"""โห! บ้าไปแล้ว โคตรสุดยอดเลย!"""
ssn_014620_0402#0,"""ฉันต้องเอาจริงบ้างแล้ว สักวันฉันก็อยากเข้าไปฝึกในนั้นเหมือนกัน"""
ssn_014620_0501#0,"""...อะไรวะเนี่ย? เคยไปมาแล้วเหรอ? คราวหน้าก็บอกกันก่อนสิฟะ!"""
ssn_016420_0601#0,"""แต่มันก็ยังสุดยอดอยู่ดี ฉันเองก็ต้องเอาจริงบ้างแล้ว"""
ssn_014620_0602#0,"""สักวันฉันจะไปฝึกที่นั่นบ้าง"""
