text01101#0,"""잘 왔다.<br><%me> 공."""
text01102#0,"""내가 아쿠마다."""
text01103#0,"""아크스 쉽 대항전에 관한<br>각종 정보 제공과<br>스타로 상품을 구매하는 일을 맡는다."""
text01104#0,"""음?"""
text01105#0,"""귀공의 표정으로 보아<br>이해가 불분명한 상태라 추측한다."""
text01106#0,"""그렇다면 바로<br>내 임무를 수행하도록 하지."""
text01107#0,"""지금부터 아크스 쉽 대항전의<br>규칙을 튜토리얼로 설명한다."""
text01108#0,"""건너뛰지 말고<br>꼼꼼히 확인하기를 권장한다."""
text01201#0,"""어떠했나.<br>귀공이라면<br>이해했으리라 추측한다."""
text01202#0,"""규칙을 다시 확인하려면<br>튜토리얼에서<br>확인하기를 권장한다."""
text01203#0,"""튜토리얼은<br>메인 메뉴의 인포메이션에서<br>열람할 수 있다."""
text01204#0,"""라운드 시작과 종료 시각은<br>내가 모든 아크스를 대상으로<br>일제히 안내한다."""
text01205#0,"""그럼<br><%me> 공.<br>이 이벤트를 마음껏 즐기도록."""
text00#0,"""『아크스 쉽 대항전』에 대하여"""
text01#0,"""「아크스 쉽 대항전」을 설명합니다.<br><br>아크스 쉽 대항전은 <yellow>기간 한정 이벤트<c>입니다.<br>모든 쉽을 「빨강 랍피 그룹」, 「파랑 랍피 그룹」 등<br>여러 그룹으로 나누어 <c ff007f>「승점」<c>을 겨룹니다.<br><br>최종적으로 <yellow><c ff007f>「승점」<yellow>이 가장 높은 그룹<c>이 우승합니다.<br><br>이 이벤트는 <c ffa800>「아쿠마」<c>가 내비게이터를 맡습니다.<br>아쿠마에게 말을 걸면 현재 목표와 순위를 확인하거나,<br><yellow>획득한 「스타<pict sb_star_icon><yellow>」로 상품을 구매<c>할 수 있습니다."""
text02#0,"""<yellow>■무엇을 해야 하나요?<c><br>이 이벤트에서는 각 플레이어가 「라운드 목표」를 차례로 달성해,<br>보상으로 <yellow>「스타<pict sb_star_icon><yellow>」<c>와 <yellow>「공헌 포인트」<c>를 획득합니다.<br>공헌 포인트가 많은 그룹일수록 마지막에 높은 <c ff007f>「승점」<c>을 얻습니다.<br><br>\u3000<green>・라운드 목표란<c><br>\u3000\u3000아크스 쉽 대항전은 여러 「라운드」로 구성됩니다.<br>\u3000\u3000각 라운드에는 「용족을 ○마리 쓰러뜨려라」, 「특정 퀘스트 클리어」 등의<br>\u3000\u3000「라운드 목표」가 설정되며, 달성하면 보상을 받습니다.<br><br>\u3000<green>・라운드 목표 달성 보상<c><br>\u3000\u3000<yellow>「스타<pict sb_star_icon><yellow>」<c>…아쿠마의 숍에서 상품을 구매하는 화폐<br>\u3000\u3000<yellow>「공헌 포인트」<c>…소속 그룹의 순위를 올리는 포인트"""
text03#0,"""<yellow>■승패 규칙<c><br><br>라운드가 끝날 때마다 참가자 전원의 「공헌 포인트」를 집계하고,<br>포인트가 많은 그룹부터 <c ff007f>「승점」<c>을 부여합니다.<br><br>1위는 5점, 2위는 4점이라는 식으로, 모든 라운드가 끝난<br>시점에 <c ff007f>「누적 승점」<c>이 <yellow>가장 높은 그룹이 우승<c>합니다.<br><br>라운드 종료 후 샵 에어리어의 거대 모니터에서 「결과 발표」를<br>진행하므로 안내 방송이 나오면 모두 모여 주세요!<br><br>모든 라운드가 끝나고 「최종 결과 발표」까지 마치면 순위 보상으로<br>참가자에게 스타<pict sb_star_icon>가 지급되며 아쿠마 숍에 추가 상품이 진열됩니다."""
text04#0,"""<yellow>■메뉴 안내<c><br><br>아크스 쉽 대항전 관련 메뉴는 크게 두 가지입니다.<br><br>\u3000<green>・메인 메뉴<c><br>\u3000\u3000「퀘스트」＞「개최 중 이벤트」＞「아크스 쉽 대항전」에서<br>\u3000\u3000현재 보유한 스타<pict sb_star_icon> 수와 개최 중인 라운드 정보,<br>\u3000\u3000현재의 「라운드 목표」 등을 확인할 수 있습니다.<br><br>\u3000<green>・대항전 메뉴<c><br>\u3000\u3000아쿠마에게 말을 걸어 여는 메뉴에서는 지난 라운드 정보와<br>\u3000\u3000현재 <c ff007f>「누적 승점」<c> 정보를 확인할 수 있습니다.<br>\u3000\u3000스타<pict sb_star_icon>를 사용해 상품을 구매하는 숍도 여기에 있습니다."""
text05#0,"""<yellow>■기타 설명<c><br><br>\u3000<green>・「라운드 부스트」 안내<c><br>\u3000\u3000각 라운드 결과에 따라,<br>\u3000\u3000획득 경험치 증가와 레어 드롭 배율 등 부스트 배율이 달라집니다.<br>\u3000\u3000다음 라운드도 힘내세요!<br><br>\u3000<green>・쉽 이동 관련 주의 사항<c><br>\u3000\u3000보유 스타<pict sb_star_icon> 수와 공헌 포인트는 <yellow>각 쉽에 저장<c>되며,<br>\u3000\u3000쉽을 이동해도 이동할 쉽으로 가져갈 수 없습니다.<br><br>※이 튜토리얼은 메인 메뉴의<br>\u3000\u3000「시스템」＞「인포메이션」＞「튜토리얼 확인」에서<br>\u3000\u3000언제든 볼 수 있습니다."""
