msc_012300_5010#0,"""Hahahahahaha!"""
msc_012300_0010#0,"""We owe this victory to you three. Allow me to thank you once again."""
msc_012300_0020#0,"""If anything it was all thanks to your song, Nadereh."""
msc_012300_0030#0,"""Fair... But I never would have been able to use it if Manon had not been around."""
msc_012300_0040#0,"""The threat of the DOLLS has still not been quashed completely..."""
msc_012300_0050#0,"""But Retem City should be able to find some stability now."""
msc_012300_0060#0,"""So it is our turn to help now. We will engage in formal cooperation with Central."""
msc_012300_0070#0,"""Really?! Thank you so much!"""
msc_012300_0080#0,"""Crawford and I have already spoken about it. I look forward to collaborating together."""
msc_012300_0090#0,"""Us too!"""
msc_012300_0100#0,"""Now then, enjoy the banquet."""
msc_012300_0110#0,"""Party to your heart's content today."""
msc_012300_5030#0,"""Hell yeah!"""
msc_012300_5040#0,"""Woohoo!"""
msc_012300_5050#0,"""Ahaha!"""
msc_012300_0120#0,"""Amazing..."""
msc_012300_0125#0,"""That was a beautiful song."""
msc_012300_0130#0,"""Oh, stop it. I'm not used to singing in front of a crowd."""
msc_012300_0140#0,"""But you're always so imposing."""
msc_012300_0150#0,"""Ahaha."""
msc_012300_0160#0,"""Hehe."""
msc_012305_0170#0,"""Come again any time, you are always welcome."""
msc_012305_0180#0,"""We are in your debt."""
msc_012305_0190#0,"""You must come back some day!"""
msc_012305_0200#0,"""We will wait with open arms!"""
msc_012305_0210#0,"""Y-yeah, thanks."""
msc_012305_0220#0,"""I'll perform for you whenever you like."""
msc_012305_0230#0,"""Alright, let's head back to Central City!"""
