name01#0,"""Xiera"""
text01#0,"""Some Talis PAs have <red>effects that remain after activation<c>! \""Jet Wheel\"" is one of these PAs."""
text02#0,"""There are also PAs that <red>switch to another Hero weapon<c>, such as how Dive Bullet can switch to Twin Machineguns!"""
text03#0,"""After using Jet Wheel, <red>use Dive Wheel and hold the button<c> to automatically switch to Twin Machineguns."""
text101#0,"""Task 6: <yellow>Combine two PAs in a combo"""
train_title#0,"""Task 6: <yellow>Combine two PAs in a combo"""
tut_title#0,"""Talis special actions"""
text100#0,"""・Use the Talis PA \""Jet Wheel\"" using <%NormalAttack><br>・While \""Jet Wheel\"" is active,<br>\u3000press and hold <%PhotonArts> to switch<br>\u3000weapons with \""Dive Bullet\"""""
text100_3b#0,"""・Use the Talis PA \""Jet Wheel\""<br>\u3000using <%PhotonArts><br>・While \""Jet Wheel\"" is active,<br>\u3000press and hold <%MainPaletteC> to switch<br>\u3000weapons with \""Dive Bullet\"""""
tut_win_title#0,"""Weapon Switching PAs"""
tut_win_text100#0,"""Each Hero weapon has PAs which can switch weapons.<br><br>The weapon switching PAs are different for each weapon, and each weapon type can switch to each other weapon type.<br><br>To switch weapons, hold the button while using the PA. If you press the button without holding it, you will perform the PA without switching."""
