name01#0,"""Xiera"""
11_voice_train_04001#0,"""Hello! This is the \""Hero Basics\"" training course."""
text02#0,"""Hero is a class designed to <red>let one person fight many enemies at once<c>."""
text03#0,"""Whilst it uses the already-existing Sword, Twin Machinegun and Talis weapon types, it uses them in ways that have never been seen before!"""
text04#0,"""First, try hitting an enemy with the Hero Sword PA <red>Brightness End's Held Attack<c>!"""
text101#0,"""Task 1: <yellow>Hit an enemy with Brightness End's Held Attack"""
train_title#0,"""Task 1: <yellow>Hit an enemy with Brightness End's Held Attack"""
tut_title#0,"""Brightness End's Held Attack"""
text100#0,"""・Use \""Brightness End\"" with <%PhotonArts><br>\u3000and hold the button until it is<br>\u3000charged<br>・Hit an enemy with the Held<br>\u3000Attack"""
tut_win_title#0,"""Hero Sword"""
tut_win_text100#0,"""Hero Sword features fast attacks with a very wide range.<br><br>All Hero Sword PAs have additional effects that occur when holding the PA button, such as being able to be charged, or switching to other Hero weapons automatically."""
