name01#0,"""Xiera"""
text01#0,"""The Twin Machinegun Weapon Action <red>recovers PP by reloading<c>."""
text02#0,"""You can <red>continue reloading by holding the Weapon Action button<c>."""
text03#0,"""Also, <red>if you reload with Just Attack timing<c>, a Just Reload will occur, which recovers your PP much more quickly."""
text101#0,"""Task 4: <yellow>Reload with Twin Machineguns for 2 seconds"""
train_title#0,"""Task 4: <yellow>Reload with Twin Machineguns for 2 seconds"""
tut_title#0,"""Reloading"""
text100#0,"""・Hold <%WeaponAction> for 2 seconds"""
text100_3b#0,"""・Hold <%MainPaletteC> for 2 seconds"""
tut_win_title#0,"""Hero Twin Machinegun"""
tut_win_text100#0,"""Hero Twin Machineguns consume PP even when using normal attacks.<br><br>Their main way to recover PP is their Weapon Action, \""Reload\"".<br><br>You can reload for as long as you need by holding the Weapon Action button.<br><br>Also, if you Reload with Just Attack timing, you will perform a \""Just Reload\"", which recovers PP much faster than normal."""
