11_voice_NPC_5063_100#0,"""Professor, Professor! Great timing!"""
favs_before_020#0,"""Before you say anything, take this!"""
favs_after_010#0,"""This is a little thank-you gift for always taking such good care of me."""
favs_after_020#0,"""It's not enough to fully express how much I owe you, but I had to say thank you somehow!"""
favs_after_030#0,"""See you around, Professor! I can't wait for our next assignment together!"""
favs_present_010#0,"""Received <yellow>Synthesizer<c> from Lubert."""
favs_present_020#0,"""Received <yellow>Homing Emission<c> from Lubert."""
favs_present_030#0,"""Received <yellow>Impact Slider<c> from Lubert."""
favs_present_040#0,"""Received <yellow>Synthesizer<c> from Lubert."""
favs_present_050#0,"""Received <yellow>One Point<c> from Lubert."""
favs_present_060#0,"""Received <yellow>Diffuse Shell<c> from Lubert."""
favs_present_070#0,"""Received <yellow>Synthesizer<c> from Lubert."""
favs_present_080#0,"""Received <yellow>Sneak Shooter<c> from Lubert."""
favs_present_090#0,"""Received <yellow>Glorious Rain<c> from Lubert."""
favs_present_100#0,"""Received <yellow>Parallel Slider<c> from Lubert."""
favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Lubert."""
11_voice_NPC_5063_100#1,"""Hey! If you want to become a great ARKS, the number one thing you need is dedication!"""
11_voice_NPC_5063_100#2,"""Hey! If you want to become a great ARKS, the number one thing you need is dedication!"""
11_voice_NPC_5063_100#3,"""Hey! If you want to become a great ARKS, the number one thing you need is dedication!"""
11_voice_NPC_5063_100#4,"""Hey! If you want to become a great ARKS, the number one thing you need is dedication!"""
11_voice_NPC_5063_100#5,"""Hey! If you want to become a great ARKS, the number one thing you need is dedication!"""
11_voice_NPC_5063_100#6,"""Hey! If you want to become a great ARKS, the number one thing you need is dedication!"""
11_voice_NPC_5063_100#7,"""Hey! If you want to become a great ARKS, the number one thing you need is dedication!"""
11_voice_NPC_5063_100#8,"""This place is full of older ARKS! It's really exciting to be around so many of them!"""
Npc63_08_020#0,"""It's getting me super fired up to be in ARKS! Yeah, I'm really feeling it!"""
11_voice_NPC_5063_100#9,"""This place is full of older ARKS! It's really exciting to be around so many of them!"""
