11_voice_NPC_5065_101#0,"""La la la, lalala la la♪ Your...cry is...♪"""
Kuna_01_020#0,"""Ooh ooh ooh, ooh ooh...♪"""
11_voice_NPC_5065_104#0,"""Me?\u3000What was I doing, you ask? I don't get a chance to come to the Shop Area very often. So I was people watching."""
Kuna_02_020#0,"""I was intently watching everyone, seeing what kinds of fashion they liked, what things caught their attention. Stuff like that. """
Kuna_02_030#0,"""I have to be on top of the latest fashions! These are all important things you know, not just for pop idols. """
11_voice_NPC_5065_107#0,"""But how are you able to find me so easily?"""
Kuna_03_020#0,"""I messed with my refractive index to make it so other people can't see me......is it not working?"""
Kuna_03_030#0,"""Well, it's useless thinking about it. It's all well, since I got to be acquainted with you. """
11_voice_NPC_5065_100#0,"""My, I'm so glad we're both okay. I'm so sorry I was late to come help you. It took a reeeally long time gathering intelligence. """
Kuna_mb17_020#0,"""I only just managed because those twin intel girls helped me out. I'm so grateful. """
Kuna_mb17_030#0,"""But you know, I made that speech thinking it'll be the end of my pop career......"""
11_voice_NPC_5065_101#1,"""Then it turns out it's increased my popularity, like people saying I looked really dignified and cool and all that......so weird. """
11_voice_NPC_5065_100#1,"""……やっぱりあなたには<br>あたしのことが丸見えみたいだね。<br>今もマイの力、使ってるんだよ？"""
11_voice_NPC_5065_104#1,"""それでもあなたはあたしを見つける。<br>……なんでだろ？\u3000不思議だよね。<br>だけど、ちょっと納得もしてるんだ。"""
Kuna_mb18_030#0,"""あなたは、あたしたちとはなんだか<br>少し視点が違う気がするから……<br>外側から見てる、気がするから。"""
11_voice_NPC_5065_105#0,"""上手く表現できないなあ……<br>まあ、かいつまんで言うと、あなたは<br>特別な感じがする、ってことかな？"""
Kuna_mb19_010#0,"""あたし、ここでボーッとしてる<br>わけじゃないんだよ。<br>お忍びイメトレ中、ってところかな。"""
11_voice_NPC_5065_101#2,"""今回のライブも大成功！<br>行き交うみんなも満面の笑み！<br>そういう姿を、想像してるの。"""
Kuna_mb19_030#0,"""アイドルの歌は、聞いて喜んでくれる<br>人がいてこそのもの、だからね。<br>こういうイメトレも重要なんだ。"""
Kuna_mb20_010#0,"""うーん……そろそろ行ってあげないと<br>寂しがっちゃうかなあ……"""
11_voice_NPC_5065_106#0,"""って、うわっ！<br>い、いたなら声かけてよ、まったく！"""
Kuna_mb20_030#0,"""寂しい？\u3000誰が？\u3000あたしが？<br>違う違う、ぜんぜん違う。<br>あたしが寂しいわけないじゃん。"""
11_voice_NPC_5065_100#2,"""だって、誰にも見えなくしてるのに<br>会いに来てくれる人がいるんだから。"""
Kuna_mb21_010#0,"""龍祭壇へは、できるだけ定期的に<br>行けるようにしようと思ってるの。"""
11_voice_NPC_5065_100#3,"""ちゃんと歌は届いてるって<br>そう、言ってもらえたしね。"""
Kuna_mb21_030#0,"""きっと待ってるはずだから。<br>寂しがる前に会ってあげないと。"""
Asai_01_10#0,"""やっほー！\u3000元気？<br>このスーパーアイドル<br>クーナちゃんになにか用かな？"""
11_voice_NPC_5065_104#2,"""……へ？\u3000強さについて？<br>そういうの、あたしに聞いちゃう？<br>まあ、いいけどさー。"""
Asai_01_30#0,"""んー……真面目に答えるなら<br>相手の情報をどれだけ知ってるか<br>そういうのも大事だと思うのよね。"""
Asai_01_40#0,"""知らないことってやっぱり<br>何よりも怖いことだと思うんだ。"""
Kuna_mb22_010#0,"""あ、やっほー。<br>相変わらず忙しそうだね。"""
11_voice_NPC_5065_104#3,"""あたしの方はって？<br>んー、アークスの仕事は最近は<br>少なくなってきたかなあ。"""
Kuna_mb22_030#0,"""あ、でもスケジュールには<br>都合をきかせて、龍祭壇へは<br>行ったりしているかな。"""
11_voice_NPC_5065_100#4,"""うちの弟は、寂しがりだからね。<br>できるだけ行ってあげないと。<br>それが姉の役目でもあるからさ。"""
Kuna_mb23_010#0,"""こういう仕事をしているとさ<br>結構顔見知りのアークスって<br>増えるんだよね。"""
Kuna_mb23_020#0,"""まあ、あなたを通すと<br>たいていの人と顔見知りに<br>なっちゃいそうだけど。"""
11_voice_NPC_5065_100#5,"""だってたいていの人があなたを<br>知っているんだもん。<br>顔が広いよね。"""
Kuna_mb23_after_010#0,"""や、大変だったね。<br>全部、状況は知ってるよ。"""
Kuna_mb23_after_020#0,"""それで、どうするのかな？<br>なんて聞くまでもないよね。"""
