msc_011410_0010#0,"""だいぶ時間が経ってしまったわね。<br>それにしても……。"""
msc_011410_0020#0,"""外からじゃわからなかったけれど、<br>こんな風になっていたのね。"""
msc_011410_0060#0,"""なんだか、マズい状況……かも？"""
msc_011410_0070#0,"""私たちも、引き際を考えないと<br>いけないかもしれないわね。"""
msc_011410_0080#0,"""そんな！<br>それじゃ、ブルーダーはどうなるの？"""
msc_011410_0090#0,"""……。"""
msc_011410_0100#0,"""マノンの言うとおりだ。"""
msc_011410_0110#0,"""クロフォード!?"""
msc_011410_0120#0,"""ドールズの出現規模が想定を超えている。<br>このままでは、いずれ押しきられるだろう。"""
msc_011410_0130#0,"""キミたちも、<br>自分たちの身の安全を第一に考えてくれ。"""
msc_011410_0140#0,"""ブルーダーは、<br>そう簡単にやられはしない。"""
msc_011410_0150#0,"""危なくなったら逃げ……。"""
msc_011410_0160#0,"""……クロフォード？<br>クロフォード!?"""
msc_011410_0170#0,"""ジャミングね。<br>しかも、恐ろしく強力な。"""
msc_011410_0180#0,"""……！"""
msc_011410_0190#0,"""なっ!?"""
msc_011410_0200#0,"""ネクス・エアリオよ！"""
msc_011410_0210#0,"""攻撃が来るぞ！"""
msc_011410_0220#0,"""ブルーダー！"""
