msc_011440_5010#0,"""ฮ่าห์!"""
msc_011440_5020#0,"""ย่าห์!"""
msc_011440_5030#0,"""ย้า!"""
msc_011440_5040#0,"""ฮ้าาาา!"""
msc_011440_0010#0,"""...เราทำสำเร็จแล้ว"""
msc_011440_0020#0,"""เธอทำได้ยอดเยี่ยมมาก ไอน่า (Aina)"""
msc_011440_0030#0,"""ขอบใจนะ ทั้งสองคน!"""
msc_011440_0040#0,"""เป็นการเคลื่อนไหวที่สวยงามมาก เธอพัฒนาขึ้นเยอะเลยนะในเวลาสั้นๆ"""
msc_011440_0050#0,"""ก็เพราะคำแนะนำที่ครูฝึกให้มายังไงล่ะคะ!"""
msc_011440_0060#0,"""ระบบสื่อสารกลับมาใช้งานได้แล้ว ...ฉันไม่พบสัญญาณของ Nex Aelio เลย เดี๋ยวนะ หรือว่าพวกเธอ..."""
msc_011440_0070#0,"""ครอว์ฟอร์ด (Crawford) ภารกิจเสร็จสิ้นแล้ว พวกเรากำลังจะกลับไปเดี๋ยวนี้แหละ"""
msc_011440_0080#0,"""บรูเดอร์ (Bruder)!"""
msc_011440_0090#0,"""...อะแฮ่ม ใช่ รีบกลับมาเถอะ"""
msc_011440_0100#0,"""...กลับกันเถอะ"""
