11_voice_NPC_5151_100#0,"""It's you. At just the right time, too."""
favs_before_020#0,"""I was thinking about giving you this. I don't need it, but it may be useful to you."""
favs_after_010#0,"""It's not much, but you've done a lot for me."""
favs_after_020#0,"""Well then."""
favs_present_010#0,"""Received <yellow>Photon Sphere<c> from Saga."""
favs_present_020#0,"""Received <yellow>Strike Gust<c> from Saga."""
favs_present_030#0,"""Received <yellow>Excube<c> from Saga."""
favs_present_040#0,"""Received <yellow>Extreme Pass<c> from Saga."""
favs_present_050#0,"""Received <yellow>Gran Wave<c> from Saga."""
favs_present_060#0,"""Received <yellow>Tri Boost +50%<c> from Saga."""
favs_present_070#0,"""Received <yellow>Grind Success Rate +10%<c> from Saga."""
favs_present_080#0,"""Received <yellow>Grind Risk Reduction (+2)<c> from Saga."""
favs_present_090#0,"""Received <yellow>Ability Success Rate +10%<c> from Saga."""
favs_present_100#0,"""Received <yellow>Moment Gale<c> from Saga."""
favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Saga."""
skit01_010#0,"""バウンサーのことは<br>私と、隣にいるカトリに<br>相談してくれ。"""
skit01_020#0,"""私は主に、魔装脚を<br>カトリは飛翔剣を<br>担当している。"""
mb18_10#0,"""バウンサーは他クラスにはない<br>近中距離戦闘と範囲補助を担うための<br>クラスとして認可されている。"""
11_voice_NPC_5151_100#1,"""だが、まだデータが不足しているため<br>私とカトリが試験運用役となっている。<br>今後とも、よろしく頼む。"""
mb19_010#0,"""バウンサーとは、近接戦闘と支援活動が<br>メインのクラスだ。<br>経験豊富であれば活躍ができる。"""
mb19_020#0,"""他にはない戦い方となるが<br>バウンサーにしか出来ないことだ。<br>機会があれば体験してみると良い。"""
mb20_010#0,"""ジェットブーツの特徴としては<br>専用のフォトンアーツが存在し<br>テクニックの使用も可能なことだ。"""
mb20_020#0,"""ただし、武器自体は法撃力に依存する。<br>そこが、他の武器やデュアルブレードと<br>大きく異なる点だな。"""
mb20_030#0,"""お前は既に知っているだろうが<br>まだ知らないアークスもいるだろう。<br>改めて案内しているわけだ。"""
mb21_010#0,"""ジェットブーツについてだが<br>わかりやすい特徴のひとつとして<br>２段ジャンプがある。"""
mb21_020#0,"""デュアルブレードでは出来ない<br>ジェットブーツならではの特徴だ。"""
mb21_030#0,"""改めての案内となるが<br>これも宣伝活動の任務のためだ。<br>よろしく頼む。"""
11_voice_NPC_5151_100#2,"""幸いにして、バウンサーの数は<br>増えてきている。"""
mb22_020#0,"""試験運用担当としては<br>喜ばしい限りだ。"""
